"","time","number","diam","LDSA","surface","mass","sigma","idiff","ucor","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","steps","n10.00","n16.26","n26.43","n42.96","n69.83","n113.52","n184.55","n300.00","A1","A2","A3","A4","A5","Part_time"
"1",3,11337,19,11,17,0.09,1.45,0,0,360,23.5,55,1016,0.5,4.16,16.52,0,54,100,7691,22053,21908,2070,0,0,0,0,1.6131,0.71288,0,0,0,2023-07-20 07:19:24
"2",7,5761,26,11,37.4,0.59,2.1,2.02,3564,361,23.6,51,1016.2,0.501,4.15,16.6,0,54,100,4241,8928,5606,1599,5301,1622,0,0,1.70421,0.75315,0.77598,0,0,2023-07-20 07:19:28
"3",11,7219,21,10.9,51.7,1.31,2.06,2.02,3564,720,23.6,51,1016.5,0.5,4.16,16.2,0,54,100,7167,14697,8484,0,0,3025,835,0,1.77803,0.78577,0.80959,0.38949,0,2023-07-20 07:19:32
"4",15,5887,24,12.5,81,3.71,2.19,2.03,3565,1200,23.6,51,1016.3,0.5,4.16,16.2,0,54,100,4689,9672,7174,2365,1637,1419,21,919,1.91017,0.84417,0.86976,0.41844,0.14603,2023-07-20 07:19:36
"5",19,4387,42,11.3,78.5,3.04,1.99,2.01,3561,100,23.5,51,1016.2,0.5,4.15,16.16,0,54,78,854,2182,4533,6434,4812,1273,1,696,1.81969,1.53244,0.82856,0.39862,0.13911,2023-07-20 07:19:40
"6",23,4798,43,12.5,89.1,3.34,2.01,1.98,3557,362,23.6,51,1016.3,0.5,4.16,16.36,0,54,38,900,2307,4649,6668,5510,1965,1,732,2.08104,1.75253,0.99068,0.45587,0.15909,2023-07-20 07:19:44
"7",27,4836,44,13.1,77.1,2.5,1.95,2,3560,720,23.6,51,1016.2,0.5,4.15,16.2,0,54,54,888,2203,4441,6578,6340,1976,2,488,2.02025,1.70134,0.96175,0.3504,0.15444,2023-07-20 07:19:48
"8",31,4746,44,11.5,74.1,2.35,1.92,1.96,3557,1200,23.6,51,1016.2,0.499,4.15,16.2,0,54,92,728,2111,4328,6739,6613,1256,298,412,1.9633,1.65338,0.93464,0.34052,0.11818,2023-07-20 07:19:52
"9",35,5221,39,12,75.4,2.34,2.08,2.01,3557,100,23.6,51,1016.2,0.5,4.15,16.4,0,54,88,1633,3721,4962,5778,5708,2510,3,423,2.0685,1.62243,0.98472,0.35877,0.12451,2023-07-20 07:19:56
"10",39,5221,38,12.6,72.9,2.37,2.04,2,3556,361,23.6,51,1016.3,0.499,4.15,16.12,0,54,81,1583,3640,5298,6357,5467,1928,0,464,1.99286,1.5631,0.90054,0.34565,0.11996,2023-07-20 07:20:00
"11",43,4981,39,12.5,67.5,2.01,2.02,1.97,3556,720,23.6,51,1016.2,0.5,4.15,16.52,0,54,83,1425,3287,4849,5996,5569,2117,6,352,1.93848,1.52045,0.87597,0.31289,0.11668,2023-07-20 07:20:04
"12",47,5576,40,13.6,68.1,1.57,2.02,2.01,3553,1199,23.6,51,1016.1,0.5,4.15,16.2,0,54,90,1585,3748,5350,6452,5781,3341,0,162,2.16577,1.69873,0.97868,0.34957,0.06388,2023-07-20 07:20:08
"13",51,5323,41,12.7,67.6,1.6,2,2,3557,100,23.6,51,1016.4,0.5,4.15,16.4,0,54,48,1364,3320,4927,6281,6014,3131,8,176,2.13868,1.6553,0.96643,0.3452,0.06308,2023-07-20 07:20:12
"14",55,5204,42,14,69,1.85,1.95,2,3557,361,23.6,51,1016.2,0.5,4.15,16.68,0,54,30,1094,2862,4798,6735,6601,2268,21,280,2.1004,1.62567,0.95113,0.33902,0.06195,2023-07-20 07:20:16
"15",59,6083,37,14.5,81.6,2.37,2.08,1.99,3553,719,23.6,51,1016,0.499,4.15,16.32,0,54,76,1982,4652,6345,7032,4978,3341,133,360,2.33036,1.80366,1.05527,0.46814,0.06874,2023-07-20 07:20:20
"16",63,6198,38,14.8,75.1,1.61,2.09,1.97,3556,1199,23.6,51,1016.4,0.5,4.15,16.24,0,54,80,2018,4940,6460,6955,4428,3947,605,14,2.36684,1.83189,1.07178,0.47547,0.00739,2023-07-20 07:20:24
"17",67,5316,43,13.5,70.7,1.52,2,2.03,3557,99,23.7,51,1016.2,0.5,4.15,16.6,0,54,97,1139,2941,4938,6541,5299,4175,60,94,2.22429,1.79666,1.00723,0.44683,0.00695,2023-07-20 07:20:28
"18",71,5949,38,13,70.3,1.56,2,1.98,3557,361,23.6,51,1016.2,0.5,4.15,16.52,0,54,52,1431,4185,6948,8502,3264,2983,875,0,2.18438,1.76442,0.9393,0.43881,0.00682,2023-07-20 07:20:32
"19",75,5121,40,12.5,55.4,0.99,1.96,1.98,3553,719,23.6,51,1016.2,0.5,4.15,16.2,0,54,100,1214,3172,5205,6687,4816,3064,107,0,1.91815,1.54938,0.82482,0.30918,0.00599,2023-07-20 07:20:36
"20",79,5297,40,13.1,70.9,2.09,1.96,2.01,3553,1200,23.7,51,1016.3,0.5,4.15,16.56,0,54,100,1232,2999,5255,7109,6146,1980,3,374,2.05563,1.66042,0.88393,0.33134,0.12375,2023-07-20 07:20:40
"21",83,5625,37,12.8,74.5,2.5,2.01,2.02,3556,100,23.6,51,1016.3,0.5,4.15,16.44,0,54,47,1739,4078,5889,7075,6001,1342,5,523,2.05665,1.60051,0.88437,0.33151,0.12381,2023-07-20 07:20:44
"22",87,5409,39,13.4,73.9,2.45,1.94,2,3552,360,23.7,51,1016.3,0.5,4.15,16.64,0,54,43,1258,3200,5449,7461,6658,1085,1,515,2.0697,1.61067,0.8712,0.33361,0.1246,2023-07-20 07:20:48
"23",91,5756,37,12.8,83.9,3.08,2.03,1.96,3555,719,23.6,51,1016.3,0.501,4.15,16.24,0,54,88,1730,4090,6355,7633,5259,1522,0,683,2.15595,1.67779,0.90751,0.4344,0.12979,2023-07-20 07:20:52
"24",95,4727,40,12,61.5,1.59,2.02,1.96,3553,1199,23.7,51,1016.4,0.501,4.15,16.4,0,54,100,1220,3009,4752,5916,4398,2892,0,210,1.88204,1.46463,0.79221,0.37921,0.02596,2023-07-20 07:20:56
"25",99,6524,23,11.4,50.3,1.2,2.09,1.99,3556,99,23.6,51,1016.1,0.5,4.15,16.24,0,54,100,5321,11242,8279,2328,0,3079,664,0,1.67914,1.00672,0.7068,0.33832,0.02316,2023-07-20 07:21:00
"26",103,5274,27,10.5,52.8,1.46,2.18,1.99,3555,361,23.6,52,1016.2,0.498,4.15,17.24,0,55,100,3519,7504,6224,3085,1495,2618,406,137,1.65183,0.99035,0.72151,0.33282,0.02278,2023-07-20 07:21:04
"27",107,5984,28,11.7,52.3,1.13,2.16,2.03,3557,719,23.7,52,1016.3,0.499,4.15,16.68,0,55,100,3906,8241,6582,3234,2969,3249,115,60,1.85469,1.11198,0.81012,0.27677,0.02558,2023-07-20 07:21:08
"28",111,7386,25,12.5,72.5,2.62,2.13,2.01,3557,1200,23.7,52,1016.2,0.501,4.15,17.48,0,55,100,5822,11829,8315,2541,4066,1807,69,551,2.06238,1.23649,0.90084,0.30776,0.15186,2023-07-20 07:21:12
"29",115,6801,24,11.9,64.9,2.48,2.1,1.98,3556,100,23.6,52,1016.2,0.5,4.15,17.4,0,55,100,5733,11638,7930,1847,2873,1649,3,554,1.85937,0.93027,0.81217,0.27747,0.13691,2023-07-20 07:21:16
"30",119,6655,25,11.8,67.2,2.7,2.07,1.97,3555,359,23.6,52,1016.1,0.5,4.15,16.28,0,54,100,4920,10173,8007,3594,3265,930,0,645,1.91943,0.96032,0.78433,0.28643,0.14133,2023-07-20 07:21:20
"31",123,5653,26,11.3,74.7,3.44,2.12,2,3556,718,23.7,52,1016.2,0.5,4.15,16.52,0,54,100,3890,8182,7123,3955,2132,619,0,882,1.79754,0.89934,0.73453,0.38742,0.13236,2023-07-20 07:21:24
"32",127,6892,22,11.6,79.6,3.84,2.03,1.99,3559,1199,23.7,52,1016.3,0.5,4.15,17.2,0,55,100,5838,12053,9043,2949,1175,545,57,997,1.8336,0.91738,0.74926,0.39519,0.15588,2023-07-20 07:21:28
"33",131,5288,33,11.5,80.9,3.52,2.05,2,3556,99,23.7,52,1016.2,0.501,4.15,16.8,0,54,91,2009,4558,6366,6891,4132,203,0,895,1.85057,1.38338,0.7562,0.39885,0.15733,2023-07-20 07:21:32
"34",135,6266,29,10.6,77,3.49,1.91,1.98,3560,361,23.7,52,1016.1,0.499,4.15,16.12,0,54,48,2432,5732,9280,10007,1318,0,0,921,1.83448,1.37136,0.57914,0.39538,0.15596,2023-07-20 07:21:36
"35",139,6247,32,12,61.8,2.2,1.89,1.98,3569,719,23.6,53,1016.2,0.5,4.15,16.36,0,54,84,2283,5176,8029,9103,4485,0,0,525,1.86953,1.39756,0.59021,0.24557,0.15894,2023-07-20 07:21:40
"36",143,6250,32,11.1,55.7,1.72,1.86,2,3569,1200,23.7,53,1016,0.5,4.15,17,0,54,36,2076,5038,7773,9124,5147,79,1,377,1.86433,1.39367,0.58856,0.24489,0.04665,2023-07-20 07:21:44
"37",147,7356,26,11.5,48.5,1.15,1.93,1.99,3565,99,23.7,53,1016.1,0.5,4.15,16.8,0,54,79,4546,9915,9650,6636,2596,793,654,65,1.84736,1.18484,0.58321,0.24266,0.04622,2023-07-20 07:21:48
"38",151,7007,26,11.1,48.4,0.96,2.03,2,3564,361,23.7,53,1016,0.5,4.15,16.28,0,54,81,4692,9972,8451,4592,2961,2156,372,6,1.85915,1.1924,0.69452,0.24421,0.04652,2023-07-20 07:21:52
"39",155,8273,24,11.9,63.2,1.6,2.02,2.03,3561,718,23.7,53,1016,0.5,4.15,16.56,0,54,100,5961,12926,11165,5561,0,2317,1273,0,2.07398,1.33018,0.77477,0.40192,0.05189,2023-07-20 07:21:56
"40",159,7042,26,11.8,77.8,3.35,2.02,1.97,3559,1199,23.6,53,1016,0.5,4.15,16.8,0,54,100,4449,9484,9271,6306,2527,352,156,822,1.95926,1.25661,0.73191,0.37969,0.15426,2023-07-20 07:22:00
"41",163,5424,35,11.7,75.9,3.12,1.93,2.03,3559,100,23.7,52,1016.1,0.5,4.15,16.36,0,54,45,1481,3613,6689,8537,4597,0,0,783,1.86491,1.4867,0.69667,0.3614,0.14683,2023-07-20 07:22:04
"42",167,5772,36,12.5,86.1,3.52,1.97,2.02,3557,360,23.6,52,1016.1,0.5,4.15,16.64,0,54,57,1624,3885,6732,8526,5528,154,32,868,2.06618,1.64714,0.84134,0.40041,0.16268,2023-07-20 07:22:08
"43",171,5425,37,12.2,78.6,3.06,1.97,1.99,3556,718,23.7,52,1016.2,0.5,4.15,16.6,0,54,56,1471,3519,6112,7874,5596,392,5,734,1.96681,1.56793,0.80088,0.36161,0.15485,2023-07-20 07:22:12
"44",175,5214,38,12.2,65,1.95,1.97,2.02,3557,1200,23.7,52,1016.1,0.5,4.15,16.2,0,54,64,1367,3379,5716,7227,4772,1882,11,353,1.90774,1.52084,0.77683,0.35075,0.04944,2023-07-20 07:22:16
"45",179,5926,34,13,70.9,2.25,2.07,2.01,3556,100,23.7,52,1016.1,0.499,4.15,16.64,0,54,100,2392,5405,6568,6534,4629,2114,7,428,2.10763,1.43702,0.85822,0.38751,0.05462,2023-07-20 07:22:20
"46",183,6447,31,12.6,69,2.12,2.06,2,3556,360,23.7,52,1016.4,0.5,4.15,16.44,0,54,100,2987,6661,7487,6660,4109,2254,0,392,2.11546,1.44236,0.85268,0.38894,0.05482,2023-07-20 07:22:24
"47",187,6388,30,12.5,52.9,1.06,2.07,1.98,3556,718,23.6,51,1016.3,0.5,4.14,16.36,0,54,100,3423,7567,7064,5264,4609,1882,453,7,1.93244,1.31758,0.77892,0.25973,0.05008,2023-07-20 07:22:28
"48",191,6537,32,12.9,58.8,1.24,2.05,1.98,3556,1199,23.7,51,1016.2,0.5,4.15,15.92,0,54,100,2983,6634,7119,6343,5165,2527,111,92,2.13682,1.45693,0.86129,0.2872,0.0364,2023-07-20 07:22:32
"49",195,5427,36,11.6,52.3,1.01,1.96,2,3556,100,23.7,51,1016.2,0.5,4.15,16.28,0,54,67,1678,4047,5681,6678,5331,2184,54,60,1.88055,1.44489,0.758,0.25276,0.03203,2023-07-20 07:22:36
"50",199,5776,38,12.7,57,1.1,1.94,2,3553,361,23.7,51,1016.1,0.5,4.15,16.08,0,54,67,1598,3924,5894,7356,6176,2343,0,75,2.05695,1.58042,0.82502,0.27647,0.03504,2023-07-20 07:22:40
"51",203,5662,38,11.9,52.6,0.88,1.92,2,3553,719,23.6,51,1016,0.5,4.14,16.52,0,54,31,1552,3835,5676,7174,6453,2104,12,21,1.98866,1.52796,0.79763,0.23307,0.03388,2023-07-20 07:22:44
"52",207,5587,38,12.2,52.6,0.91,1.91,1.99,3553,1199,23.6,51,1016.2,0.5,4.15,15.76,0,54,35,1484,3705,5561,7148,6526,2005,6,36,1.97442,1.51701,0.79192,0.2314,0.03477,2023-07-20 07:22:48
"53",211,6261,30,12,49.4,0.87,2.06,1.97,3552,99,23.7,51,1016.3,0.5,4.15,16.32,0,54,100,3332,7295,6846,5100,4580,2358,158,0,1.89295,1.3145,0.75924,0.22185,0.03334,2023-07-20 07:22:52
"54",215,7611,25,12.2,53.1,0.92,2.15,2.02,3553,360,23.7,51,1016,0.5,4.14,15.92,0,54,100,5986,12700,7462,1079,5613,3225,0,0,1.99787,1.38736,0.85963,0.23415,0.03518,2023-07-20 07:22:56
