"","time","number","diam","LDSA","surface","mass","sigma","idiff","ucor","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","steps","n10.00","n16.26","n26.43","n42.96","n69.83","n113.52","n184.55","n300.00","A1","A2","A3","A4","A5","Part_time"
"1",3,21036,20,21.1,34.9,0.19,1.46,0,0,360,19.9,60,1021.8,0.5,4.16,23.48,0,60,100,12276,38737,42453,6220,0,0,0,0,3.15584,1.50152,0,0,0,2023-08-10 07:04:54
"2",7,9948,28,20.5,81.4,1.4,2.23,2.02,3601,360,20,61,1022,0.5,4.15,22.52,0,59,100,7332,15381,8246,870,10831,4481,0,0,3.25857,1.55041,1.72135,0,0,2023-08-10 07:04:58
"3",11,16421,18,20.2,104.3,2.66,2.07,1.98,3599,719,20,62,1022,0.499,4.15,22.72,0,59,100,23738,45277,0,0,1,7493,1274,33,3.29571,1.56807,1.74097,0.74522,0,2023-08-10 07:05:02
"4",15,12366,21,20.7,128.8,4.73,2.19,2.01,3600,1199,20,62,1021.8,0.5,4.15,22.44,0,59,100,12711,25412,12934,0,0,5764,1020,758,3.36074,1.59901,1.77532,0.75993,0.20951,2023-08-10 07:05:06
"5",19,6606,54,21,130.4,3.52,1.91,1.99,3600,100,20,63,1021.8,0.5,4.15,22.04,0,58,100,560,1760,4905,8394,8671,5695,1018,299,3.33229,2.98599,1.76029,0.75349,0.20774,2023-08-10 07:05:10
"6",23,6811,53,20.6,134.7,3.71,1.91,2,3605,359,20.1,63,1022.2,0.5,4.14,21.48,0,58,100,559,1790,5103,8766,8956,5787,957,356,3.42634,3.07028,1.81005,0.77476,0.2136,2023-08-10 07:05:14
"7",27,7514,52,21.5,139.6,4.24,1.8,2,3599,718,20,63,1021.8,0.5,4.15,21.2,0,58,100,335,1390,5889,10976,11250,5027,4,732,3.541,3.17302,1.87063,0.69376,0.22075,2023-08-10 07:05:18
"8",31,6992,54,21.5,121.2,2.51,1.86,2,3597,1198,20,63,1022.1,0.5,4.15,20.76,0,58,62,572,1822,4771,8379,9703,7194,688,0,3.47394,3.11292,1.83519,0.68062,0.15467,2023-08-10 07:05:22
"9",35,7019,52,21.9,120.4,2.57,1.92,2,3597,100,20.1,63,1021.9,0.5,4.15,20.76,0,58,85,824,2315,4962,8100,9331,6970,732,24,3.45448,2.98651,1.82492,0.67681,0.1538,2023-08-10 07:05:26
"10",39,7066,52,20.7,122.1,2.67,1.92,1.98,3596,359,20.1,63,1022.1,0.5,4.15,20.92,0,58,60,826,2328,4952,8100,9479,7109,617,69,3.47803,3.00686,1.86034,0.68142,0.15485,2023-08-10 07:05:30
"11",43,7088,53,21.9,125,2.71,1.94,2,3596,718,20.1,63,1022,0.499,4.15,20.88,0,58,65,834,2339,4969,8080,9325,7111,917,12,3.53404,3.05528,1.8903,0.72016,0.15735,2023-08-10 07:05:34
"12",47,7102,52,21.6,129.8,3.31,1.95,2.01,3597,1196,20.1,63,1022,0.5,4.15,20.2,0,57,80,891,2443,5202,8351,9350,6510,627,280,3.48987,3.01709,1.86667,0.71115,0.18555,2023-08-10 07:05:38
"13",51,7165,51,21.8,128.8,3.13,2,2,3599,99,20.1,63,1022,0.5,4.15,20.44,0,57,100,1116,2866,5262,7947,9074,6617,903,164,3.52952,2.97378,1.88789,0.71924,0.18765,2023-08-10 07:05:42
"14",55,7378,47,21.3,127.1,3.86,1.96,1.99,3596,360,20.1,62,1022,0.5,4.15,20.04,0,57,38,1110,3072,6160,9473,9642,4841,0,661,3.34356,2.81711,1.63952,0.68134,0.17777,2023-08-10 07:05:46
"15",59,7121,46,19.5,132.2,4.42,2,1.99,3596,718,20.1,63,1022,0.5,4.15,20.56,0,57,13,1146,3118,6195,9240,8661,4536,0,848,3.25958,2.74635,1.59834,0.75667,0.1733,2023-08-10 07:05:50
"16",63,7931,44,21.9,126.7,3.36,2.03,1.98,3595,1196,20.2,63,1022.2,0.5,4.15,20.44,0,57,77,1475,3981,7632,10466,7278,5481,984,284,3.44998,2.90677,1.6917,0.80087,0.09561,2023-08-10 07:05:54
"17",67,7474,48,21.6,128.3,3.36,1.99,2.02,3596,99,20.2,63,1022,0.5,4.15,20.04,0,57,66,1123,3112,6405,9481,8229,5968,810,289,3.48498,2.97117,1.70886,0.80899,0.09658,2023-08-10 07:05:58
"18",71,6882,50,21.4,121.6,2.83,1.99,1.98,3596,359,20.1,63,1022,0.5,4.15,19.88,0,57,65,979,2700,5335,8049,7975,6445,1062,65,3.36052,2.86506,1.7527,0.7801,0.09313,2023-08-10 07:06:02
"19",75,7559,51,22.2,120.7,2.38,1.92,2.01,3593,718,20.2,63,1022.2,0.5,4.15,19.88,0,57,58,968,2696,5429,8652,9922,7778,370,2,3.62153,3.08759,1.88883,0.69648,0.10037,2023-08-10 07:06:06
