"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"895",0,"220054000c504e5354303420",1691647637,"0.000000","0.000000","0.39",0.8,0.96,54,4,2,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,7,633,25.18,49.07,1,19.7,62.8,"na","na",287,278,365,256,20,2023-08-10 08:07:17,11.0679610416667,25.18,49.07,21.8301930555556
"896",0,"220054000c504e5354303420",1691647642,"0.000000","0.000000","0.52",1.68,2.06,51,5,3,0,2,2,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,8,633,25.17,49.06,1,19.7,62.9,"na","na",285,278,364,255,21,2023-08-10 08:07:22,11.0965836607143,25.17,49.06,21.91975
"897",0,"220054000c504e5354303420",1691647647,"0.000000","0.000000","0.52",3.65,9.93,61,3,1,1,2,1,2,2,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,7,633,25.17,49.01,1,19.7,62.8,"na","na",286,278,368,257,19,2023-08-10 08:07:27,11.6425791666667,25.17,49.01,21.9283666666667
"898",0,"220054000c504e5354303420",1691647652,"0.000000","0.000000","0.50",0.89,0.95,66,4,2,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,6,633,25.19,49.04,1,19.7,62.7,"na","na",286,278,364,255,21,2023-08-10 08:07:32,10.7971191666667,25.19,49.04,21.8549
"899",0,"220054000c504e5354303420",1691647657,"0.000000","0.000000","0.44",0.54,0.55,64,3,2,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,8,633,25.17,48.97,1,19.7,62.7,"na","na",286,278,369,259,18,2023-08-10 08:07:37,10.7693555357143,25.17,48.97,21.7783375
"901",0,"220054000c504e5354303420",1691647662,"0.000000","0.000000","0.37",1.03,46.94,60,5,0,0,0,0,1,0,0,"0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,455,10,633,25.17,48.96,1,19.8,62.7,"na","na",285,278,369,260,19,2023-08-10 08:07:42,10.7573280357143,25.17,48.96,21.6852458333333
"902",0,"220054000c504e5354303420",1691647667,"0.000000","0.000000","0.45",1.04,1.75,60,10,1,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,9,633,25.18,48.97,1,19.8,62.6,"na","na",285,278,365,259,20,2023-08-10 08:07:47,10.7608841666667,25.18,48.97,21.4783097222222
"903",0,"220054000c504e5354303420",1691647672,"0.000000","0.000000","0.41",1.65,13.76,50,7,0,1,1,0,1,0,1,"0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,464,9,633,25.18,48.95,1,19.8,62.6,"na","na",288,278,364,253,23,2023-08-10 08:07:52,10.8061579166667,25.18,48.95,21.1035597222222
"904",0,"220054000c504e5354303420",1691647677,"0.000000","0.000000","0.41",0.51,0.51,52,5,2,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,9,633,25.21,48.91,1,19.8,62.5,"na","na",286,278,368,258,20,2023-08-10 08:07:57,10.5524025,25.21,48.91,20.5038625
"905",0,"220054000c504e5354303420",1691647682,"0.000000","0.000000","0.49",1,40.63,63,4,2,1,1,0,0,0,0,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,461,11,632,25.21,48.9,1,19.8,62.5,"na","na",286,278,366,257,19,2023-08-10 08:08:02,10.5662195833333,25.21,48.9,20.5226416666667
"906",0,"220054000c504e5354303420",1691647687,"0.000000","0.000000","0.40",1.35,2.23,55,6,1,0,0,1,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,9,633,25.22,48.86,1,19.8,62.5,"na","na",287,278,366,255,24,2023-08-10 08:08:07,10.55803875,25.22,48.86,20.79825
"908",0,"220054000c504e5354303420",1691647692,"0.000000","0.000000","0.38",0.78,0.94,64,2,1,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,7,632,25.22,48.83,1,19.8,62.4,"na","na",286,278,368,259,21,2023-08-10 08:08:12,10.456795,25.22,48.83,20.6829916666667
"909",0,"220054000c504e5354303420",1691647697,"0.000000","0.000000","0.48",1.25,1.98,60,6,3,0,1,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,10,633,25.23,48.81,1,19.8,62.3,"na","na",287,278,367,258,21,2023-08-10 08:08:17,10.4866133333333,25.23,48.81,20.7354541666667
"910",0,"220054000c504e5354303420",1691647702,"0.000000","0.000000","0.55",1.61,7.4,70,4,3,1,1,1,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,8,632,25.22,48.76,1,19.8,62.3,"na","na",284,278,369,259,17,2023-08-10 08:08:22,10.5530633333333,25.22,48.76,20.6977416666667
"911",0,"220054000c504e5354303420",1691647707,"0.000000","0.000000","0.49",0.89,1.05,70,9,1,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,11,632,25.22,48.72,1,19.8,62.3,"na","na",288,278,368,256,21,2023-08-10 08:08:27,10.4461558333333,25.22,48.72,20.3694083333334
"912",0,"220054000c504e5354303420",1691647712,"0.000000","0.000000","0.40",1.39,3.67,51,4,0,1,2,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,6,632,25.23,48.71,1,19.9,62.1,"na","na",285,278,367,259,18,2023-08-10 08:08:32,10.5378517857143,25.23,48.71,20.061125
"913",0,"220054000c504e5354303420",1691647717,"0.000000","0.000000","0.35",0.97,19.18,56,7,0,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,486,12,632,25.22,48.72,1,19.9,62.1,"na","na",286,278,367,256,25,2023-08-10 08:08:37,10.4589391666667,25.22,48.72,20.3284291666667
"915",0,"220054000c504e5354303420",1691647722,"0.000000","0.000000","0.34",1.46,28.6,46,4,1,0,1,1,0,1,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,486,8,632,25.25,48.67,1,19.9,62.1,"na","na",286,278,366,257,24,2023-08-10 08:08:42,10.5780672023809,25.25,48.67,19.8305333333334
