"","time","number","diam","LDSA","surface","mass","sigma","idiff","ucor","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","steps","n10.00","n16.26","n26.43","n42.96","n69.83","n113.52","n184.55","n300.00","A1","A2","A3","A4","A5","Part_time"
"1",3,19364,17,15.7,21.3,0.09,1.38,0,0,359,23.2,49,1016.8,0.5,3.95,18.96,0,56,100,16738,50371,24656,0,0,0,0,0,2.34204,0.74959,0,0,0,2023-07-14 06:34:32
"2",7,8813,21,12.6,33.3,0.47,1.86,1.98,3563,361,23.4,46,1017,0.5,3.95,18.88,0,56,100,8153,16793,10316,1106,4221,1173,0,0,1.86928,0.59828,0.62487,0,0,2023-07-14 06:34:36
"3",11,8329,24,13.9,58.6,1.82,1.97,1.97,3561,720,23.4,47,1017.1,0.499,3.94,19.08,0,56,100,6320,13281,10538,4577,2500,1889,14,349,2.3337,0.74691,0.78012,0.30361,0,2023-07-14 06:34:40
"4",15,13231,19,15.4,56.8,1.47,1.78,1.97,3563,1199,23.4,48,1017.1,0.5,3.95,18.64,0,56,100,13966,28243,17028,0,0,2828,508,123,2.50099,0.80046,0.83604,0.32537,0.05147,2023-07-14 06:34:44
"5",19,12044,21,16.2,77.3,2.91,1.87,2,3564,100,23.4,49,1016.9,0.5,3.94,19.16,0,56,100,11028,22679,15914,3521,1288,1927,66,650,2.90893,0.73248,0.97241,0.37844,0.05986,2023-07-14 06:34:48
"6",23,17360,17,16.4,62.3,2.38,1.59,2.01,3567,360,23.5,50,1017,0.501,3.94,19.08,0,56,100,18778,38228,24129,0,4,116,485,522,2.76157,0.69537,0.61392,0.35927,0.05683,2023-07-14 06:34:52
"7",27,15709,17,13.8,59.7,2.68,1.56,2,3565,720,23.4,51,1016.9,0.5,3.94,18.84,0,56,100,18875,37578,17235,0,0,8,20,725,2.29676,0.57833,0.51059,0.43293,0.04727,2023-07-14 06:34:56
"8",31,17657,17,16.6,75.3,3.48,1.59,1.98,3564,1199,23.4,51,1017.1,0.5,3.94,18.44,0,56,100,20299,40192,22233,0,0,0,0,949,2.72366,0.68583,0.60549,0.51341,0.17296,2023-07-14 06:35:00
"9",35,14024,21,18,93.2,4.18,1.76,2.02,3565,99,23.4,51,1017.1,0.5,3.94,18.4,0,55,83,10937,23237,21765,9399,0,0,0,1120,2.80866,1.55704,0.62439,0.52943,0.17835,2023-07-14 06:35:04
"10",39,11095,22,15.6,90,3.58,1.93,1.97,3560,361,23.4,51,1017,0.5,3.94,18.24,0,55,100,9096,19038,15136,5953,943,909,773,728,2.56726,1.42321,0.88622,0.48392,0.16302,2023-07-14 06:35:08
"11",43,10634,24,15.9,88.1,3.51,1.95,2.01,3564,720,23.4,50,1017.1,0.5,3.94,18.12,0,55,100,7929,16565,13849,6877,3570,650,111,841,2.62029,1.45261,0.90453,0.38775,0.16639,2023-07-14 06:35:12
"12",47,10300,23,14.7,64.8,1.69,1.95,2,3560,1199,23.5,50,1016.8,0.5,3.94,18.36,0,55,100,8381,17513,13402,4808,1628,2149,803,122,2.37998,1.31939,0.82157,0.35219,0.07807,2023-07-14 06:35:16
"13",51,9507,25,15.5,62.4,1.38,1.97,1.98,3560,100,23.5,51,1017,0.501,3.94,17.96,0,55,100,6453,13871,12220,6952,2875,1797,865,18,2.35339,1.47863,0.81239,0.34826,0.0772,2023-07-14 06:35:20
"14",55,7605,27,13.8,65.4,1.45,2.17,1.99,3560,361,23.4,50,1016.9,0.5,3.94,17.8,0,55,100,5316,11047,8218,3269,4027,3909,166,86,2.27715,1.43073,1.02535,0.33697,0.0747,2023-07-14 06:35:24
"15",59,7648,27,14,70.9,1.79,2.18,1.99,3563,720,23.5,50,1017.1,0.5,3.94,17.52,0,55,100,5486,11474,8670,3361,2841,3751,539,116,2.28397,1.43502,1.02842,0.40283,0.07492,2023-07-14 06:35:28
"16",63,9016,24,13.6,66.5,1.32,2.15,2,3560,1199,23.5,50,1017.1,0.5,3.94,17.72,0,55,100,7744,16177,10456,1193,870,6260,22,0,2.33602,1.46773,1.05186,0.41201,0.0259,2023-07-14 06:35:32
"17",67,7160,30,13.6,67.5,1.29,2.17,2.01,3563,100,23.4,50,1017,0.5,3.93,17.92,0,55,100,3894,9061,8064,5140,2118,5615,36,0,2.26646,1.71506,1.02054,0.39974,0.02513,2023-07-14 06:35:36
"18",71,6023,36,13.9,69.1,1.57,2.09,1.99,3561,361,23.5,50,1016.9,0.5,3.94,17.76,0,55,85,2197,5061,6158,6267,4812,3865,44,133,2.22498,1.68366,1.01019,0.39243,0.02467,2023-07-14 06:35:40
"19",75,6268,36,13.6,65.3,1.19,2.09,1.99,3560,719,23.5,50,1017,0.5,3.95,17.96,0,55,92,2416,5514,6260,6104,5251,4071,79,4,2.25929,1.70963,1.02577,0.35275,0.02505,2023-07-14 06:35:44
"20",79,6128,37,13.7,70.3,1.49,2.09,1.99,3559,1199,23.5,50,1017.1,0.5,3.94,17.92,0,55,12,2213,5161,5939,6215,6122,2679,700,6,2.28459,1.72877,1.03725,0.3567,0.08199,2023-07-14 06:35:48
"21",83,6307,33,13.2,68,1.76,2.13,2.02,3560,100,23.5,50,1017.2,0.5,3.95,17.56,0,55,58,3030,6572,6570,5373,4967,3129,10,235,2.13609,1.57289,0.96983,0.33352,0.07666,2023-07-14 06:35:52
"22",87,7255,32,14.3,70.9,1.74,2.04,1.97,3560,361,23.5,50,1017,0.5,3.94,17.8,0,55,100,3175,7134,8144,7608,5411,2391,331,182,2.3354,1.71966,0.9579,0.36464,0.08381,2023-07-14 06:35:56
"23",91,7536,33,14.8,81.5,2.52,2.03,2,3557,721,23.5,50,1017,0.499,3.95,17.56,0,55,85,3125,7024,8622,8573,5854,1968,71,473,2.45961,1.81112,1.00885,0.39317,0.08827,2023-07-14 06:36:00
"24",95,7078,34,14.6,83.9,2.72,2.03,1.97,3559,1200,23.5,50,1017.1,0.499,3.94,17.48,0,55,86,2697,6070,7809,8263,6344,1790,16,548,2.44594,1.80105,1.00324,0.39098,0.1302,2023-07-14 06:36:04
"25",99,6512,35,14.3,78.6,2.5,2.02,1.99,3557,99,23.5,50,1017,0.5,3.94,17.36,0,55,78,2263,5179,7058,7919,6219,1712,13,495,2.30388,1.71996,0.94497,0.36827,0.12263,2023-07-14 06:36:08
"26",103,6379,34,14.5,78.1,2.46,2.11,2,3559,360,23.5,50,1017,0.501,3.94,17.24,0,55,92,2800,6098,6657,6152,5727,2310,21,461,2.22688,1.66248,1.01057,0.35596,0.11853,2023-07-14 06:36:12
"27",107,6270,36,13.9,83.3,2.6,2.09,2.04,3559,719,23.5,50,1016.9,0.499,3.94,17.52,0,55,98,2279,5121,6350,6739,6052,2682,7,476,2.3624,1.76364,1.07207,0.40487,0.12575,2023-07-14 06:36:16
"28",111,5872,36,14.4,81.4,2.71,2.09,2.01,3557,1200,23.4,50,1016.9,0.498,3.94,18.16,0,55,82,2114,4731,5952,6427,5901,2159,1,540,2.22559,1.66151,1.00999,0.38142,0.14562,2023-07-14 06:36:20
"29",115,8016,22,12.8,72,2.53,2.12,1.99,3559,99,23.5,50,1016.7,0.5,3.94,19.08,0,56,100,7425,15011,9247,419,2284,3006,110,478,2.0789,1.10608,0.94341,0.35628,0.13602,2023-07-14 06:36:24
"30",119,7591,24,13.1,75.7,2.77,2.14,2.02,3557,360,23.5,50,1017.1,0.499,3.94,19.24,0,56,100,6378,13020,8762,1808,2787,2551,99,564,2.13954,1.13835,0.97372,0.36668,0.13999,2023-07-14 06:36:28
"31",123,9104,22,14.1,66.5,1.87,2.09,2.03,3559,718,23.5,51,1017.1,0.501,3.94,18.92,0,56,100,8648,17187,9628,0,4059,3339,0,281,2.27661,1.21128,1.0361,0.28923,0.14896,2023-07-14 06:36:32
"32",127,7436,26,12.3,75.8,2.71,2.15,1.98,3557,1200,23.5,51,1016.9,0.501,3.94,18.72,0,56,100,5572,11324,8118,2900,4885,1862,0,577,2.25273,1.19857,1.02523,0.2862,0.18848,2023-07-14 06:36:36
"33",131,5981,31,13.1,67.9,2.25,2.13,2.03,3557,100,23.5,51,1017.1,0.5,3.94,18.68,0,56,88,3328,6830,6047,4323,6041,1309,1,462,1.95973,1.36118,0.89189,0.24897,0.16396,2023-07-14 06:36:40
"34",135,6213,32,12.9,72.8,2.51,2.09,2.02,3559,361,23.5,51,1017,0.499,3.94,19,0,56,62,3016,6350,6549,5731,6226,1022,0,545,2.07825,1.4435,0.91427,0.26403,0.17388,2023-07-14 06:36:44
"35",139,5087,34,12.3,91.8,4.05,2.19,2.03,3559,720,23.5,51,1017,0.5,3.94,18.16,0,56,100,2137,4751,5841,5679,3539,1154,0,1002,2.002,1.39054,0.88073,0.51408,0.1675,2023-07-14 06:36:48
"36",143,6296,29,13.2,79.1,2.56,2.19,2.01,3556,1199,23.5,51,1017,0.499,3.94,18.32,0,56,100,3541,7897,8045,5646,748,2475,1214,265,2.10071,1.45911,0.92415,0.53943,0.04924,2023-07-14 06:36:52
"37",147,6846,26,12.8,77.9,2.55,2.19,1.99,3559,100,23.5,51,1017.1,0.5,3.93,18.56,0,56,100,4855,10437,8822,4132,0,2669,1269,252,2.08429,1.27031,0.91693,0.53521,0.04886,2023-07-14 06:36:56
"38",151,6798,26,12.6,80.4,2.23,2.32,1.97,3556,361,23.5,51,1016.9,0.5,3.94,18.52,0,56,100,5310,11175,8058,2056,9,3900,1704,0,2.18489,1.33162,1.09773,0.56104,0.05122,2023-07-14 06:37:00
"39",155,8480,22,14.2,63.2,1.3,2.19,2.03,3556,720,23.5,51,1017,0.5,3.94,18.04,0,55,93,8410,16990,8250,0,0,6535,0,0,2.13248,1.29968,1.0714,0.41645,0.04999,2023-07-14 06:37:04
"40",159,7903,26,15,98.4,3.6,2.28,1.98,3560,1200,23.5,51,1017.1,0.5,3.94,17.96,0,56,100,6135,12475,8414,1988,3848,3815,44,727,2.5384,1.54708,1.27534,0.49572,0.18428,2023-07-14 06:37:08
"41",163,7595,33,15,113.7,4.08,2.26,1.98,3557,100,23.5,51,1017.2,0.5,3.94,17.92,0,55,100,3975,8357,7600,5418,6071,3680,64,826,2.86923,2.00015,1.44155,0.56033,0.2083,2023-07-14 06:37:12
"42",167,9692,28,16.8,119.6,4.66,2.15,1.98,3560,361,23.5,51,1017,0.5,3.94,17.92,0,55,84,5960,12562,11284,7109,5387,2510,63,1052,3.0119,2.0996,1.33963,0.58819,0.21865,2023-07-14 06:37:16
"43",171,8969,29,16.7,118.2,4.56,2.17,2,3563,720,23.5,51,1017,0.5,3.94,18.04,0,55,89,5303,11399,10943,7408,3613,2061,896,875,2.88031,2.00787,1.2811,0.65693,0.2091,2023-07-14 06:37:20
"44",175,7175,29,14.4,118.4,5.69,2.16,2.03,3564,1201,23.5,52,1016.9,0.5,3.94,18.12,0,55,74,3965,8360,8779,6964,4424,1,0,1505,2.41404,1.68284,1.07372,0.55058,0.30301,2023-07-14 06:37:24
"45",179,7275,25,14.1,106.3,5.27,2.14,2,3561,100,23.5,52,1016.9,0.5,3.94,18.44,0,56,100,5392,11095,9097,4371,3079,25,0,1412,2.18286,1.3032,0.97089,0.49786,0.27399,2023-07-14 06:37:28
"46",183,7457,24,13.6,100.5,4.44,2.24,1.99,3565,360,23.5,52,1017.1,0.5,3.94,18.28,0,55,100,6441,12885,8246,1161,3679,1786,64,1071,2.21311,1.32126,1.13071,0.50476,0.27779,2023-07-14 06:37:32
"47",187,6981,27,15.1,105,4.65,2.28,1.98,3563,719,23.5,53,1017,0.5,3.94,17.96,0,55,100,5270,10548,7389,2396,4897,1433,2,1145,2.3369,1.39516,1.19396,0.44651,0.29332,2023-07-14 06:37:36
"48",191,8086,24,14.7,90.5,3.4,2.25,1.99,3564,1200,23.5,53,1017.1,0.499,3.94,18.44,0,55,100,7498,14885,8264,0,3389,3572,2,704,2.31066,1.3795,1.18056,0.44149,0.19865,2023-07-14 06:37:40
"49",195,6051,37,15.2,101.1,3.85,2.18,1.98,3565,99,23.5,53,1016.9,0.499,3.94,18.52,0,56,84,2409,5177,5911,5893,6213,2215,0,855,2.40388,1.80527,1.22818,0.4593,0.20667,2023-07-14 06:37:44
"50",199,5652,37,14.3,88.5,3.33,2.1,2.01,3564,360,23.5,53,1017.1,0.5,3.94,18.12,0,55,100,1987,4417,5860,6488,5602,1683,0,744,2.19906,1.65146,0.99674,0.42017,0.18906,2023-07-14 06:37:48
"51",203,6825,35,14.8,94.8,3.49,2.08,2.04,3565,720,23.5,53,1017.1,0.5,3.94,18.08,0,55,55,2661,5769,7107,7513,7246,1258,0,786,2.46144,1.8485,1.11566,0.39033,0.21162,2023-07-14 06:37:52
"52",207,6923,37,17.7,91,2.74,2.07,1.95,3565,1199,23.5,53,1016.9,0.5,3.94,18.48,0,56,100,2410,5393,6837,7518,7225,2935,1,487,2.63157,1.97626,1.19278,0.41731,0.159,2023-07-14 06:37:56
"53",211,8986,22,14.6,77.7,2.72,2.1,2.02,3568,99,23.5,53,1017,0.499,3.94,18.6,0,56,100,8472,17100,10412,240,2386,3414,30,527,2.34876,1.09776,1.06459,0.37246,0.14191,2023-07-14 06:38:00
"54",215,7622,23,14.1,71.8,2.5,2.16,2.01,3564,360,23.5,53,1016.9,0.5,3.93,18.16,0,55,100,7010,14139,8555,220,2434,3270,8,479,2.12764,0.99441,1.01002,0.3374,0.12855,2023-07-14 06:38:04
"55",219,5795,24,12.7,89.2,4.12,2.25,2,3561,720,23.5,53,1016.9,0.501,3.93,17.92,0,55,100,4733,9874,7320,2149,333,1724,369,955,1.92255,0.89856,0.91266,0.53549,0.11616,2023-07-14 06:38:08
"56",223,5421,25,12.3,93.9,4.59,2.28,2.01,3561,1200,23.5,52,1017,0.502,3.94,17.92,0,55,100,4168,8667,6722,2536,1017,1365,40,1172,1.94324,0.90823,0.92249,0.54125,0.15332,2023-07-14 06:38:12
