"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"975",0,"220054000c504e5354303420",1696481646,"51.921711","4.481133","2.24",19.32,167.24,56,25,16,9,9,15,8,4,2,"3",1,0,1,1,0,0,0,0,0,0,0,0,0,0,449,5,633,27.07,40.55,1,21.2,52.6,"na","na",283,278,366,249,19,2023-10-05 06:54:06,16.499126096473,27.07,40.55,19.9638172619048
"976",0,"220054000c504e5354303420",1696481651,"51.92168","4.48111","2.45",26.26,157.35,45,20,20,5,14,19,12,4,7,"2",0,0,0,1,0,0,0,0,1,0,0,0,0,0,443,8,633,27.07,40.48,1,21.2,52.5,"na","na",283,278,366,252,18,2023-10-05 06:54:11,16.8245008340271,27.07,40.48,20.1270505952381
"977",0,"220054000c504e5354303420",1696481656,"51.921661","4.481106","1.7",13.71,46.13,55,10,14,5,10,7,7,3,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,4,633,27.06,40.44,1,21.2,52.3,"na","na",281,278,365,251,19,2023-10-05 06:54:16,16.5716365476191,27.06,40.44,19.1442375
"978",0,"220054000c504e5354303420",1696481661,"51.921654","4.481113","1.89",10.61,36.95,55,27,15,6,8,5,5,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,6,633,27.06,40.27,1,21.2,52.3,"na","na",281,278,368,253,25,2023-10-05 06:54:21,17.3053536309524,27.06,40.27,19.12655
"980",0,"220054000c504e5354303420",1696481666,"51.921638","4.481119","2.07",12.25,39.07,56,23,20,2,9,7,6,0,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,8,633,27.06,40.21,1,21.2,52.1,"na","na",281,278,367,250,23,2023-10-05 06:54:26,16.7585818344156,27.06,40.21,19.0716958333334
"981",0,"220054000c504e5354303420",1696481671,"51.921619","4.481122","1.97",11.44,53.91,50,19,11,6,11,7,5,0,0,"0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,390,7,633,27.09,40.09,1,21.2,52,"na","na",281,278,366,252,20,2023-10-05 06:54:31,16.7905295138889,27.09,40.09,19.4589005952381
"982",0,"220054000c504e5354303420",1696481676,"51.921608","4.48113","1.52",5.98,7.91,61,23,11,2,7,5,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,4,633,27.06,39.98,1,21.2,51.9,"na","na",281,278,368,252,20,2023-10-05 06:54:36,13.8766741369047,27.06,39.98,18.0389166666667
"983",0,"220054000c504e5354303420",1696481681,"51.921604","4.481143","1.38",4.62,8.03,58,19,15,3,2,4,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,7,633,27.09,39.89,1,21.2,51.9,"na","na",282,278,367,252,34,2023-10-05 06:54:41,13.5524138095238,27.09,39.89,18.009325
"984",0,"220054000c504e5354303420",1696481686,"51.9216","4.481157","1.59",6.76,11.96,55,18,15,5,4,4,2,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,7,633,27.09,39.82,1,21.2,51.8,"na","na",282,278,366,253,16,2023-10-05 06:54:46,15.6013150992063,27.09,39.82,19.1410339285715
"985",0,"220054000c504e5354303420",1696481691,"51.9216","4.481164","1.51",6.71,9.49,46,21,13,2,7,5,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,9,633,27.07,39.78,1,21.2,51.6,"na","na",282,278,365,255,28,2023-10-05 06:54:51,15.3777482539682,27.07,39.78,17.5965125
"987",0,"220054000c504e5354303420",1696481696,"51.921604","4.481171","1.43",7.02,25.29,45,28,9,5,4,3,2,1,2,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,5,633,27.07,39.72,1,21.2,51.6,"na","na",281,278,369,258,25,2023-10-05 06:54:56,15.4421563311688,27.07,39.72,18.6791708333333
