Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 20.7.2023 07:19:21
statistics: 154705 LDSAmin, 9238 min, 277892 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.2, RH 13.0...81.9
gain	1516.0	1553.0
startup	1454.0	1490.0
ST: Ipump 16.0mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  11337	 19	 11.0	 17.0	0.09	1.45	0.00	0	360	23.5	55	1016.0	0.500	4.16	16.52	0	54	100	7691	22053	21908	2070	0	0	0	0	1.61310	0.71288	0.00000	0.00000	0.00000
7.0	   5761	 26	 11.0	 37.4	0.59	2.10	2.02	3564	361	23.6	51	1016.2	0.501	4.15	16.60	0	54	100	4241	8928	5606	1599	5301	1622	0	0	1.70421	0.75315	0.77598	0.00000	0.00000
11.0	   7219	 21	 10.9	 51.7	1.31	2.06	2.02	3564	720	23.6	51	1016.5	0.500	4.16	16.20	0	54	100	7167	14697	8484	0	0	3025	835	0	1.77803	0.78577	0.80959	0.38949	0.00000
15.0	   5887	 24	 12.5	 81.0	3.71	2.19	2.03	3565	1200	23.6	51	1016.3	0.500	4.16	16.20	0	54	100	4689	9672	7174	2365	1637	1419	21	919	1.91017	0.84417	0.86976	0.41844	0.14603
19.0	   4387	 42	 11.3	 78.5	3.04	1.99	2.01	3561	100	23.5	51	1016.2	0.500	4.15	16.16	0	54	78	854	2182	4533	6434	4812	1273	1	696	1.81969	1.53244	0.82856	0.39862	0.13911
23.0	   4798	 43	 12.5	 89.1	3.34	2.01	1.98	3557	362	23.6	51	1016.3	0.500	4.16	16.36	0	54	38	900	2307	4649	6668	5510	1965	1	732	2.08104	1.75253	0.99068	0.45587	0.15909
27.0	   4836	 44	 13.1	 77.1	2.50	1.95	2.00	3560	720	23.6	51	1016.2	0.500	4.15	16.20	0	54	54	888	2203	4441	6578	6340	1976	2	488	2.02025	1.70134	0.96175	0.35040	0.15444
31.0	   4746	 44	 11.5	 74.1	2.35	1.92	1.96	3557	1200	23.6	51	1016.2	0.499	4.15	16.20	0	54	92	728	2111	4328	6739	6613	1256	298	412	1.96330	1.65338	0.93464	0.34052	0.11818
35.0	   5221	 39	 12.0	 75.4	2.34	2.08	2.01	3557	100	23.6	51	1016.2	0.500	4.15	16.40	0	54	88	1633	3721	4962	5778	5708	2510	3	423	2.06850	1.62243	0.98472	0.35877	0.12451
39.0	   5221	 38	 12.6	 72.9	2.37	2.04	2.00	3556	361	23.6	51	1016.3	0.499	4.15	16.12	0	54	81	1583	3640	5298	6357	5467	1928	0	464	1.99286	1.56310	0.90054	0.34565	0.11996
43.0	   4981	 39	 12.5	 67.5	2.01	2.02	1.97	3556	720	23.6	51	1016.2	0.500	4.15	16.52	0	54	83	1425	3287	4849	5996	5569	2117	6	352	1.93848	1.52045	0.87597	0.31289	0.11668
47.0	   5576	 40	 13.6	 68.1	1.57	2.02	2.01	3553	1199	23.6	51	1016.1	0.500	4.15	16.20	0	54	90	1585	3748	5350	6452	5781	3341	0	162	2.16577	1.69873	0.97868	0.34957	0.06388
51.0	   5323	 41	 12.7	 67.6	1.60	2.00	2.00	3557	100	23.6	51	1016.4	0.500	4.15	16.40	0	54	48	1364	3320	4927	6281	6014	3131	8	176	2.13868	1.65530	0.96643	0.34520	0.06308
55.0	   5204	 42	 14.0	 69.0	1.85	1.95	2.00	3557	361	23.6	51	1016.2	0.500	4.15	16.68	0	54	30	1094	2862	4798	6735	6601	2268	21	280	2.10040	1.62567	0.95113	0.33902	0.06195
59.0	   6083	 37	 14.5	 81.6	2.37	2.08	1.99	3553	719	23.6	51	1016.0	0.499	4.15	16.32	0	54	76	1982	4652	6345	7032	4978	3341	133	360	2.33036	1.80366	1.05527	0.46814	0.06874
63.0	   6198	 38	 14.8	 75.1	1.61	2.09	1.97	3556	1199	23.6	51	1016.4	0.500	4.15	16.24	0	54	80	2018	4940	6460	6955	4428	3947	605	14	2.36684	1.83189	1.07178	0.47547	0.00739
67.0	   5316	 43	 13.5	 70.7	1.52	2.00	2.03	3557	99	23.7	51	1016.2	0.500	4.15	16.60	0	54	97	1139	2941	4938	6541	5299	4175	60	94	2.22429	1.79666	1.00723	0.44683	0.00695
71.0	   5949	 38	 13.0	 70.3	1.56	2.00	1.98	3557	361	23.6	51	1016.2	0.500	4.15	16.52	0	54	52	1431	4185	6948	8502	3264	2983	875	0	2.18438	1.76442	0.93930	0.43881	0.00682
75.0	   5121	 40	 12.5	 55.4	0.99	1.96	1.98	3553	719	23.6	51	1016.2	0.500	4.15	16.20	0	54	100	1214	3172	5205	6687	4816	3064	107	0	1.91815	1.54938	0.82482	0.30918	0.00599
79.0	   5297	 40	 13.1	 70.9	2.09	1.96	2.01	3553	1200	23.7	51	1016.3	0.500	4.15	16.56	0	54	100	1232	2999	5255	7109	6146	1980	3	374	2.05563	1.66042	0.88393	0.33134	0.12375
83.0	   5625	 37	 12.8	 74.5	2.50	2.01	2.02	3556	100	23.6	51	1016.3	0.500	4.15	16.44	0	54	47	1739	4078	5889	7075	6001	1342	5	523	2.05665	1.60051	0.88437	0.33151	0.12381
87.0	   5409	 39	 13.4	 73.9	2.45	1.94	2.00	3552	360	23.7	51	1016.3	0.500	4.15	16.64	0	54	43	1258	3200	5449	7461	6658	1085	1	515	2.06970	1.61067	0.87120	0.33361	0.12460
91.0	   5756	 37	 12.8	 83.9	3.08	2.03	1.96	3555	719	23.6	51	1016.3	0.501	4.15	16.24	0	54	88	1730	4090	6355	7633	5259	1522	0	683	2.15595	1.67779	0.90751	0.43440	0.12979
95.0	   4727	 40	 12.0	 61.5	1.59	2.02	1.96	3553	1199	23.7	51	1016.4	0.501	4.15	16.40	0	54	100	1220	3009	4752	5916	4398	2892	0	210	1.88204	1.46463	0.79221	0.37921	0.02596
99.0	   6524	 23	 11.4	 50.3	1.20	2.09	1.99	3556	99	23.6	51	1016.1	0.500	4.15	16.24	0	54	100	5321	11242	8279	2328	0	3079	664	0	1.67914	1.00672	0.70680	0.33832	0.02316
103.0	   5274	 27	 10.5	 52.8	1.46	2.18	1.99	3555	361	23.6	52	1016.2	0.498	4.15	17.24	0	55	100	3519	7504	6224	3085	1495	2618	406	137	1.65183	0.99035	0.72151	0.33282	0.02278
107.0	   5984	 28	 11.7	 52.3	1.13	2.16	2.03	3557	719	23.7	52	1016.3	0.499	4.15	16.68	0	55	100	3906	8241	6582	3234	2969	3249	115	60	1.85469	1.11198	0.81012	0.27677	0.02558
111.0	   7386	 25	 12.5	 72.5	2.62	2.13	2.01	3557	1200	23.7	52	1016.2	0.501	4.15	17.48	0	55	100	5822	11829	8315	2541	4066	1807	69	551	2.06238	1.23649	0.90084	0.30776	0.15186
115.0	   6801	 24	 11.9	 64.9	2.48	2.10	1.98	3556	100	23.6	52	1016.2	0.500	4.15	17.40	0	55	100	5733	11638	7930	1847	2873	1649	3	554	1.85937	0.93027	0.81217	0.27747	0.13691
119.0	   6655	 25	 11.8	 67.2	2.70	2.07	1.97	3555	359	23.6	52	1016.1	0.500	4.15	16.28	0	54	100	4920	10173	8007	3594	3265	930	0	645	1.91943	0.96032	0.78433	0.28643	0.14133
123.0	   5653	 26	 11.3	 74.7	3.44	2.12	2.00	3556	718	23.7	52	1016.2	0.500	4.15	16.52	0	54	100	3890	8182	7123	3955	2132	619	0	882	1.79754	0.89934	0.73453	0.38742	0.13236
127.0	   6892	 22	 11.6	 79.6	3.84	2.03	1.99	3559	1199	23.7	52	1016.3	0.500	4.15	17.20	0	55	100	5838	12053	9043	2949	1175	545	57	997	1.83360	0.91738	0.74926	0.39519	0.15588
131.0	   5288	 33	 11.5	 80.9	3.52	2.05	2.00	3556	99	23.7	52	1016.2	0.501	4.15	16.80	0	54	91	2009	4558	6366	6891	4132	203	0	895	1.85057	1.38338	0.75620	0.39885	0.15733
135.0	   6266	 29	 10.6	 77.0	3.49	1.91	1.98	3560	361	23.7	52	1016.1	0.499	4.15	16.12	0	54	48	2432	5732	9280	10007	1318	0	0	921	1.83448	1.37136	0.57914	0.39538	0.15596
139.0	   6247	 32	 12.0	 61.8	2.20	1.89	1.98	3569	719	23.6	53	1016.2	0.500	4.15	16.36	0	54	84	2283	5176	8029	9103	4485	0	0	525	1.86953	1.39756	0.59021	0.24557	0.15894
143.0	   6250	 32	 11.1	 55.7	1.72	1.86	2.00	3569	1200	23.7	53	1016.0	0.500	4.15	17.00	0	54	36	2076	5038	7773	9124	5147	79	1	377	1.86433	1.39367	0.58856	0.24489	0.04665
147.0	   7356	 26	 11.5	 48.5	1.15	1.93	1.99	3565	99	23.7	53	1016.1	0.500	4.15	16.80	0	54	79	4546	9915	9650	6636	2596	793	654	65	1.84736	1.18484	0.58321	0.24266	0.04622
151.0	   7007	 26	 11.1	 48.4	0.96	2.03	2.00	3564	361	23.7	53	1016.0	0.500	4.15	16.28	0	54	81	4692	9972	8451	4592	2961	2156	372	6	1.85915	1.19240	0.69452	0.24421	0.04652
155.0	   8273	 24	 11.9	 63.2	1.60	2.02	2.03	3561	718	23.7	53	1016.0	0.500	4.15	16.56	0	54	100	5961	12926	11165	5561	0	2317	1273	0	2.07398	1.33018	0.77477	0.40192	0.05189
159.0	   7042	 26	 11.8	 77.8	3.35	2.02	1.97	3559	1199	23.6	53	1016.0	0.500	4.15	16.80	0	54	100	4449	9484	9271	6306	2527	352	156	822	1.95926	1.25661	0.73191	0.37969	0.15426
163.0	   5424	 35	 11.7	 75.9	3.12	1.93	2.03	3559	100	23.7	52	1016.1	0.500	4.15	16.36	0	54	45	1481	3613	6689	8537	4597	0	0	783	1.86491	1.48670	0.69667	0.36140	0.14683
167.0	   5772	 36	 12.5	 86.1	3.52	1.97	2.02	3557	360	23.6	52	1016.1	0.500	4.15	16.64	0	54	57	1624	3885	6732	8526	5528	154	32	868	2.06618	1.64714	0.84134	0.40041	0.16268
171.0	   5425	 37	 12.2	 78.6	3.06	1.97	1.99	3556	718	23.7	52	1016.2	0.500	4.15	16.60	0	54	56	1471	3519	6112	7874	5596	392	5	734	1.96681	1.56793	0.80088	0.36161	0.15485
