Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 5.10.2023 10:59:50
statistics: 249572 LDSAmin, 12333 min, 370878 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 0 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...35.7, RH 13.0...81.9
gain	1516.0	1553.0
startup	1454.3	1491.3
ST: Ipump 17.2mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	A1	A2	idiff	HV	EM1	EM2	DV	T	RH	P	flow	bat	Ipump	error	PWMpump
11.0	   6329	 34	11.66	52.53	1.00	1.881	0.674	0.00	283	-2.24	-0.62	361	21.6	55	1025.5	0.500	3.99	16.48	0	54
12.0	   6874	 32	11.85	50.37	0.90	1.911	0.637	2.01	3592	3.73	1.80	361	21.6	55	1025.3	0.501	4.00	16.88	0	54
13.0	   7193	 31	12.06	50.04	0.87	1.945	0.628	0.00	281	-1.99	-0.56	362	21.6	55	1025.3	0.500	4.00	16.68	0	54
14.0	   6737	 33	11.83	51.09	0.93	1.908	0.649	2.00	3591	3.98	1.62	362	21.6	55	1025.3	0.500	3.99	16.84	0	54
15.0	   6611	 32	11.39	48.43	0.87	1.838	0.613	0.00	284	-2.24	-0.87	362	21.6	55	1025.6	0.499	4.00	16.88	0	54
16.0	   7403	 30	12.03	48.60	0.82	1.941	0.605	2.00	3591	3.98	1.43	362	21.6	55	1025.6	0.501	3.99	16.88	0	54
17.0	   9653	 25	12.78	43.21	0.60	2.062	0.485	0.00	284	-2.24	-0.56	362	21.6	55	1025.6	0.500	4.00	16.60	0	54
18.0	   8898	 25	11.78	39.83	0.56	1.900	0.451	2.01	3591	3.36	1.31	362	21.6	55	1025.6	0.500	3.99	16.64	0	54
19.0	   6105	 33	10.95	48.15	0.89	1.766	0.614	0.00	280	-1.87	-0.44	361	21.6	55	1025.6	0.499	3.99	16.60	0	54
20.0	   5291	 36	10.47	50.22	1.02	1.689	0.652	2.01	3590	3.48	1.49	362	21.6	55	1025.6	0.501	3.99	16.60	0	54
21.0	   5263	 36	10.28	48.76	0.98	1.659	0.632	0.00	281	-2.12	-0.68	362	21.6	55	1025.4	0.500	4.00	16.52	0	54
22.0	   6667	 31	11.05	45.42	0.78	1.783	0.569	1.99	3592	2.86	1.49	362	21.6	55	1025.4	0.501	4.00	16.40	0	53
23.0	   8463	 25	11.21	37.89	0.53	1.808	0.412	0.00	280	-2.18	-0.68	362	21.6	54	1025.4	0.500	4.00	16.16	0	54
24.0	   8074	 25	10.69	36.14	0.51	1.725	0.265	1.99	3592	3.11	1.62	362	21.6	54	1025.4	0.499	3.99	16.08	0	54
25.0	   8049	 25	10.66	36.03	0.50	1.719	0.340	0.00	280	-1.56	-0.19	361	21.6	54	1025.4	0.499	3.99	16.84	0	54
26.0	   7847	 26	10.86	38.12	0.56	1.751	0.447	2.00	3590	3.30	1.31	362	21.6	54	1025.4	0.498	3.99	17.48	0	54
27.0	   7939	 25	10.57	35.88	0.50	1.704	0.413	0.00	280	-1.74	-0.50	361	21.6	54	1025.3	0.501	4.00	16.76	0	54
28.0	   6965	 29	10.83	42.08	0.68	1.746	0.517	2.00	3588	3.98	1.18	361	21.6	54	1025.3	0.501	3.99	16.64	0	54
29.0	   6167	 38	12.96	65.46	1.41	2.091	0.855	0.00	283	-3.98	-0.62	361	21.6	54	1025.3	0.499	3.99	16.60	0	54
30.0	   7113	 42	16.55	91.29	2.16	2.669	1.198	2.01	3591	5.54	1.99	362	21.6	54	1025.3	0.498	3.99	17.12	0	55
31.0	   9399	 37	18.75	90.49	1.86	3.024	1.175	0.00	280	-3.61	-1.24	361	21.6	54	1025.3	0.500	3.99	17.56	0	55
32.0	   9946	 36	19.21	90.12	1.79	3.098	1.165	2.01	3591	6.16	1.99	361	21.7	54	1025.3	0.500	3.99	17.60	0	55
33.0	   9374	 40	20.74	109.48	2.47	3.344	1.435	0.00	283	-4.48	-1.49	361	21.7	54	1025.4	0.499	4.00	17.84	0	55
34.0	   9638	 42	22.27	122.09	2.87	3.591	1.602	2.00	3588	4.98	2.74	361	21.7	54	1025.4	0.501	3.99	17.20	0	54
35.0	  10447	 36	20.34	96.11	1.93	3.281	1.244	0.00	281	-2.86	-1.43	362	21.7	54	1025.4	0.500	4.00	17.24	0	54
36.0	   7940	 38	16.54	82.93	1.77	2.668	1.082	2.01	3591	3.86	1.93	362	21.7	54	1025.4	0.501	3.99	17.04	0	54
37.0	   6586	 40	14.47	75.95	1.71	2.334	0.995	0.00	277	-2.80	-1.68	362	21.7	54	1025.4	0.499	3.99	17.28	0	54
38.0	   7985	 33	14.20	62.00	1.14	2.290	0.790	2.01	3590	4.04	1.68	361	21.7	54	1025.4	0.498	3.99	17.68	0	55
39.0	   9584	 28	14.32	53.74	0.84	2.309	0.651	0.00	281	-3.30	-0.68	362	21.7	54	1025.4	0.500	3.99	16.88	0	54
40.0	   8660	 30	14.08	56.88	0.96	2.271	0.708	2.02	3590	4.11	1.74	361	21.7	54	1025.4	0.501	3.99	17.40	0	54
41.0	   7936	 33	14.33	63.39	1.18	2.311	0.810	0.00	280	-2.80	-0.93	361	21.7	54	1025.4	0.499	4.00	17.32	0	54
42.0	   7860	 36	15.47	73.81	1.50	2.495	0.957	1.99	3590	3.86	1.56	362	21.7	54	1025.6	0.499	3.99	17.60	0	54
43.0	   6390	 43	15.10	84.42	2.03	2.435	1.108	0.00	280	-2.86	-1.43	362	21.7	54	1025.6	0.499	4.00	17.28	0	54
44.0	   6189	 42	14.32	78.66	1.85	2.310	1.032	2.01	3588	3.92	1.93	362	21.6	54	1025.6	0.500	3.99	17.20	0	54
45.0	   7184	 37	14.34	69.27	1.42	2.313	0.900	0.00	283	-2.36	-1.00	362	21.6	54	1025.4	0.500	4.00	17.36	0	54
46.0	   7464	 33	13.34	58.55	1.08	2.152	0.747	1.99	3590	3.48	1.43	362	21.6	54	1025.4	0.502	3.99	16.60	0	54
47.0	   7884	 29	12.32	48.13	0.79	1.988	0.592	0.00	280	-2.49	-0.87	362	21.7	54	1025.4	0.500	3.99	16.68	0	54
48.0	   8055	 30	12.91	51.50	0.86	2.082	0.638	2.00	3590	3.73	1.06	362	21.7	54	1025.4	0.501	3.99	16.32	0	54
49.0	   7709	 32	13.31	56.69	1.02	2.147	0.717	0.00	281	-2.30	-1.00	361	21.7	54	1025.4	0.500	3.99	16.36	0	53
50.0	   7930	 31	13.13	53.92	0.93	2.118	0.675	2.01	3588	4.04	1.31	362	21.7	54	1025.4	0.500	3.99	16.60	0	54
51.0	   7062	 34	13.15	59.81	1.15	2.121	0.769	0.00	284	-2.55	-0.93	362	21.7	54	1025.4	0.500	3.99	16.32	0	53
52.0	   6655	 37	13.56	66.69	1.40	2.188	0.868	2.01	3590	4.17	1.62	362	21.7	54	1025.4	0.500	3.99	16.20	0	53
53.0	   7424	 34	13.79	62.59	1.20	2.225	0.804	0.00	279	-3.24	-0.81	362	21.7	54	1025.4	0.499	3.99	16.12	0	53
54.0	   8368	 32	14.52	62.04	1.12	2.341	0.786	1.99	3588	4.36	1.49	362	21.7	54	1025.6	0.499	3.99	16.64	0	53
55.0	   9262	 30	15.05	60.78	1.03	2.427	0.757	0.00	280	-3.17	-0.93	361	21.7	54	1025.6	0.500	3.99	16.28	0	53
56.0	   8319	 33	14.90	65.44	1.21	2.402	0.835	2.01	3590	4.29	1.49	362	21.7	54	1025.6	0.500	3.99	16.08	0	53
57.0	   7502	 36	14.64	69.34	1.39	2.362	0.898	0.00	277	-2.80	-1.31	361	21.7	54	1025.2	0.500	3.99	16.24	0	53
58.0	   6779	 38	14.03	69.90	1.48	2.263	0.912	2.02	3591	4.04	1.56	362	21.7	54	1025.2	0.501	3.99	16.44	0	53
59.0	   8310	 32	14.25	60.30	1.07	2.298	0.762	0.00	277	-2.99	-1.18	362	21.7	54	1025.2	0.500	3.99	16.16	0	53
60.0	  10116	 28	15.17	57.15	0.90	2.447	0.693	2.02	3587	4.48	1.31	361	21.7	54	1025.5	0.495	4.00	17.36	0	54
61.0	   9278	 32	15.84	66.81	1.19	2.555	0.843	0.00	283	-2.80	-0.93	362	21.7	54	1025.5	0.501	3.99	17.08	0	54
62.0	   9151	 31	15.17	62.30	1.07	2.446	0.780	2.03	3588	4.61	1.99	361	21.7	54	1025.5	0.500	3.99	17.24	0	54
63.0	   8711	 32	15.00	63.74	1.14	2.420	0.806	0.00	279	-2.92	-1.06	361	21.7	54	1025.3	0.500	4.00	16.52	0	54
64.0	   8737	 34	15.85	70.44	1.32	2.556	0.901	2.00	3586	4.73	1.87	361	21.7	54	1025.3	0.500	3.99	17.04	0	54
65.0	   9249	 31	15.35	63.10	1.09	2.475	0.790	0.00	280	-3.05	-1.06	362	21.7	54	1025.3	0.500	3.99	17.40	0	54
66.0	   9701	 27	13.98	50.85	0.77	2.255	0.607	1.99	3588	4.73	1.31	362	21.7	54	1025.3	0.500	3.99	17.20	0	54
67.0	   9378	 31	15.38	62.62	1.07	2.481	0.782	0.00	280	-2.92	-0.56	362	21.7	54	1025.3	0.500	4.00	17.08	0	54
68.0	   8548	 35	16.02	73.21	1.42	2.583	0.942	2.01	3587	3.86	1.80	362	21.7	54	1025.3	0.501	3.99	17.16	0	54
69.0	   8281	 32	14.29	60.80	1.09	2.305	0.769	0.00	280	-2.55	-0.81	362	21.7	54	1025.5	0.500	3.99	17.16	0	54
70.0	  10327	 25	13.85	47.37	0.67	2.235	0.548	1.99	3590	3.80	1.56	362	21.7	54	1025.5	0.499	3.99	17.28	0	54
71.0	  10258	 25	13.58	45.92	0.64	2.191	0.515	0.00	281	-2.86	-0.68	361	21.7	54	1025.5	0.499	4.00	17.16	0	54
72.0	   8967	 28	13.46	50.71	0.80	2.170	0.615	2.00	3587	3.80	1.43	362	21.7	54	1025.4	0.499	3.99	17.20	0	54
73.0	   7885	 31	13.13	54.17	0.94	2.118	0.679	0.00	281	-2.55	-0.81	362	21.7	54	1025.4	0.500	4.00	17.16	0	54
74.0	   7795	 32	13.32	56.19	1.00	2.148	0.709	1.98	3590	3.86	1.56	362	21.7	54	1025.4	0.500	3.99	17.48	0	54
75.0	   7977	 31	13.32	55.07	0.96	2.148	0.691	0.00	277	-2.80	-0.87	362	21.7	54	1025.3	0.500	3.99	17.04	0	54
76.0	   7731	 32	13.33	56.68	1.01	2.150	0.717	2.01	3590	3.67	1.37	362	21.7	54	1025.3	0.499	3.99	17.44	0	55
77.0	   9302	 28	13.79	51.40	0.80	2.224	0.620	0.00	280	-2.05	-1.06	362	21.7	54	1025.3	0.500	4.00	17.48	0	55
78.0	  10006	 25	13.25	44.79	0.63	2.137	0.472	2.00	3587	4.67	1.12	361	21.7	54	1025.5	0.500	3.99	17.00	0	55
79.0	   7508	 36	14.77	70.47	1.43	2.383	0.914	0.00	279	-4.11	-0.62	361	21.7	54	1025.5	0.500	3.99	17.36	0	55
80.0	   9042	 39	19.08	96.65	2.09	3.077	1.263	2.02	3587	7.78	1.93	362	21.7	54	1025.5	0.500	3.99	17.20	0	54
81.0	  10455	 42	24.38	134.73	3.20	3.932	1.768	0.00	281	-5.79	-1.18	362	21.7	54	1025.3	0.500	4.00	17.36	0	54
82.0	  11529	 45	28.31	163.69	4.08	4.566	2.146	1.99	3587	4.73	3.36	362	21.7	54	1025.3	0.500	3.99	17.48	0	54
83.0	  12011	 38	24.80	123.35	2.61	4.000	1.609	0.00	276	-3.36	-2.36	361	21.7	54	1025.3	0.500	3.99	16.68	0	54
84.0	  10185	 35	19.48	90.63	1.79	3.142	1.170	2.00	3586	3.86	2.18	362	21.7	54	1025.5	0.500	3.99	17.20	0	54
85.0	   8824	 34	16.09	71.84	1.36	2.595	0.920	0.00	279	-2.55	-1.56	362	21.7	54	1025.5	0.500	4.00	17.08	0	54
86.0	   7219	 33	12.87	56.37	1.04	2.076	0.719	2.00	3588	3.92	1.49	361	21.7	54	1025.5	0.501	3.99	16.88	0	54
87.0	   7338	 32	12.76	54.68	0.99	2.058	0.693	0.00	276	-2.92	-0.56	362	21.7	54	1025.5	0.500	4.00	17.08	0	54
88.0	   7511	 34	13.74	61.47	1.16	2.215	0.788	2.00	3588	3.98	1.31	362	21.7	54	1025.5	0.500	3.99	17.24	0	54
89.0	   6997	 35	13.34	61.87	1.22	2.151	0.799	0.00	275	-2.80	-1.00	362	21.7	54	1025.5	0.499	3.99	16.84	0	54
90.0	   7400	 33	13.34	58.93	1.10	2.151	0.753	2.02	3587	6.04	1.49	361	21.7	54	1025.2	0.500	3.99	16.92	0	54
91.0	   8405	 36	16.48	78.34	1.58	2.658	1.015	0.01	280	-4.23	-0.87	361	21.7	54	1025.2	0.500	3.99	16.80	0	54
92.0	  10339	 36	20.24	96.09	1.94	3.264	1.245	2.00	3590	4.54	2.24	361	21.7	54	1025.2	0.500	3.99	17.28	0	54
93.0	  10776	 34	19.69	88.05	1.66	3.176	1.128	0.00	280	-3.55	-1.49	363	21.7	54	1025.2	0.500	4.00	17.04	0	54
94.0	   9363	 34	17.34	78.45	1.50	2.797	1.008	2.01	3587	4.61	1.62	362	21.7	54	1025.2	0.501	3.99	17.44	0	54
95.0	   8865	 35	17.07	79.89	1.59	2.753	1.033	0.00	279	-3.55	-0.93	362	21.7	54	1025.2	0.500	4.00	16.64	0	54
96.0	   9402	 35	17.94	83.32	1.64	2.894	1.076	2.03	3590	5.10	1.93	362	21.7	54	1025.2	0.500	3.99	16.76	0	54
97.0	  10030	 35	18.77	85.66	1.66	3.027	1.102	0.00	280	-3.67	-1.18	362	21.7	54	1025.2	0.500	4.00	16.92	0	54
98.0	   9609	 36	18.81	89.27	1.80	3.033	1.157	2.00	3590	5.29	1.87	362	21.7	54	1025.2	0.500	3.99	16.60	0	54
99.0	   9128	 38	18.68	92.16	1.94	3.013	1.201	0.00	279	-3.55	-1.49	362	21.7	54	1025.4	0.500	4.00	16.68	0	54
100.0	   9663	 37	19.28	93.03	1.91	3.109	1.208	2.00	3586	4.54	2.18	362	21.7	54	1025.4	0.500	3.99	17.20	0	54
101.0	   8475	 37	17.29	85.14	1.78	2.789	1.109	0.00	279	-3.30	-1.62	362	21.7	54	1025.4	0.500	3.99	17.00	0	54
102.0	   7838	 37	15.63	75.40	1.55	2.521	0.979	2.00	3587	4.67	1.56	361	21.7	54	1025.4	0.500	3.99	16.52	0	54
103.0	   8524	 35	16.29	75.77	1.49	2.628	0.978	0.00	279	-3.61	-1.06	362	21.7	54	1025.4	0.500	3.99	16.80	0	54
104.0	   8576	 36	16.93	80.96	1.64	2.730	1.050	2.01	3588	4.85	1.68	362	21.7	54	1025.4	0.499	3.99	17.04	0	54
105.0	   9275	 34	17.29	78.70	1.52	2.789	1.012	0.00	276	-3.49	-1.18	362	21.7	54	1025.4	0.500	3.99	16.80	0	54
106.0	   9068	 35	17.43	81.45	1.61	2.811	1.053	1.97	3586	4.73	1.74	362	21.7	54	1025.4	0.501	3.99	16.60	0	54
107.0	   9177	 35	17.44	80.66	1.58	2.812	1.041	0.00	279	-3.61	-1.00	361	21.7	54	1025.4	0.500	3.99	16.76	0	54
108.0	  10112	 31	17.04	71.04	1.25	2.749	0.893	2.02	3586	4.61	1.87	361	21.7	54	1025.4	0.500	3.99	16.96	0	54
109.0	   9886	 33	17.51	76.19	1.40	2.824	0.970	0.00	284	-3.17	-1.06	362	21.7	54	1025.4	0.499	4.00	16.92	0	54
110.0	   8869	 36	17.29	81.82	1.64	2.789	1.060	1.97	3584	4.48	1.74	362	21.7	54	1025.4	0.500	3.99	16.64	0	54
111.0	   8567	 35	16.50	77.22	1.53	2.661	0.998	0.00	280	-3.30	-1.06	362	21.7	54	1025.3	0.500	3.99	16.64	0	54
112.0	   8633	 35	16.61	77.69	1.54	2.679	1.004	2.01	3587	4.42	1.56	361	21.7	54	1025.3	0.500	3.99	16.76	0	54
113.0	   9812	 32	16.94	72.12	1.29	2.732	0.912	0.00	280	-3.11	-1.12	362	21.8	54	1025.3	0.501	4.00	16.84	0	54
114.0	   9908	 31	16.26	66.24	1.13	2.623	0.827	1.99	3584	4.42	1.43	361	21.8	54	1025.2	0.500	3.99	16.60	0	54
115.0	   8948	 33	16.01	70.34	1.30	2.583	0.897	0.00	280	-3.24	-1.00	361	21.8	54	1025.2	0.500	3.98	16.52	0	54
116.0	   8289	 35	15.72	72.57	1.42	2.535	0.936	2.01	3586	4.17	1.62	362	21.7	54	1025.2	0.500	3.99	16.88	0	54
117.0	   7772	 35	14.87	69.21	1.37	2.398	0.894	0.00	277	-3.24	-0.93	362	21.7	54	1025.3	0.500	3.99	16.88	0	54
118.0	   8603	 32	14.96	64.04	1.16	2.412	0.812	1.98	3586	4.11	1.68	362	21.7	54	1025.3	0.500	3.99	16.72	0	54
119.0	   9085	 31	15.03	61.67	1.06	2.425	0.772	0.00	277	-2.93	-0.75	362	21.7	53	1025.3	0.500	3.99	16.32	0	54
120.0	   7693	 35	14.44	66.10	1.28	2.329	0.851	1.98	3586	4.11	1.62	362	21.7	53	1025.3	0.500	3.99	16.64	0	54
121.0	   6781	 36	13.32	63.46	1.28	2.149	0.823	0.00	277	-2.74	-0.93	362	21.7	53	1025.3	0.500	3.99	16.68	0	54
122.0	   7067	 35	13.25	60.58	1.17	2.137	0.780	2.00	3587	3.80	1.56	362	21.7	54	1025.3	0.500	3.99	16.72	0	54
123.0	   7301	 34	13.50	60.97	1.16	2.177	0.783	0.00	277	-2.68	-0.87	361	21.7	54	1025.2	0.500	4.00	16.64	0	54
124.0	   7783	 33	13.92	61.11	1.13	2.245	0.779	1.99	3584	3.86	1.37	361	21.7	54	1025.2	0.500	3.99	16.56	0	54
125.0	   8110	 32	13.94	59.15	1.06	2.249	0.748	0.00	281	-2.43	-0.75	362	21.7	53	1025.2	0.500	3.99	16.60	0	54
126.0	   7741	 33	13.61	58.86	1.07	2.195	0.748	2.01	3586	3.98	1.62	362	21.7	53	1025.3	0.501	3.99	16.88	0	54
127.0	   8062	 32	14.05	60.32	1.09	2.266	0.765	0.00	281	-2.80	-0.75	361	21.7	53	1025.3	0.500	3.99	16.96	0	54
128.0	   7926	 33	14.27	62.98	1.17	2.301	0.804	2.01	3587	4.11	1.24	362	21.7	53	1025.3	0.499	3.99	16.96	0	54
129.0	   7274	 36	14.05	65.97	1.31	2.267	0.853	0.00	279	-2.86	-1.12	362	21.7	53	1025.3	0.500	4.00	16.68	0	54
130.0	   8209	 32	14.27	61.09	1.10	2.301	0.774	1.99	3586	3.86	1.37	362	21.7	53	1025.3	0.500	3.99	16.48	0	54
131.0	   9730	 29	14.89	57.10	0.91	2.402	0.697	0.00	283	-2.74	-0.81	361	21.8	53	1025.3	0.500	3.99	16.24	0	54
132.0	   9608	 28	14.63	55.83	0.89	2.359	0.681	2.00	3586	4.29	1.43	361	21.8	53	1025.4	0.499	3.99	16.60	0	54
133.0	   8045	 33	14.13	61.05	1.11	2.279	0.776	0.00	276	-2.93	-0.81	361	21.8	53	1025.4	0.500	3.99	16.56	0	54
134.0	   7690	 35	14.45	66.18	1.28	2.330	0.852	2.00	3586	3.49	1.43	361	21.7	53	1025.4	0.500	3.99	17.08	0	54
135.0	   8599	 31	14.19	58.10	1.00	2.289	0.726	0.00	277	-2.55	-1.00	361	21.7	53	1025.2	0.500	4.00	16.76	0	54
136.0	   9160	 29	13.99	53.53	0.86	2.256	0.653	1.99	3584	3.80	1.18	362	21.7	53	1025.2	0.500	3.99	16.48	0	54
137.0	   8826	 30	14.25	57.22	0.96	2.298	0.711	0.00	277	-2.93	-1.24	361	21.8	53	1025.2	0.501	3.98	16.28	0	54
138.0	   8666	 30	14.11	57.09	0.97	2.276	0.711	1.99	3586	3.98	1.43	361	21.8	53	1025.4	0.500	3.99	16.52	0	54
139.0	   9943	 27	14.02	50.06	0.74	2.261	0.592	0.00	276	-2.80	-0.93	362	21.8	53	1025.4	0.500	3.99	16.88	0	54
140.0	   9231	 28	13.58	50.30	0.78	2.190	0.605	2.00	3586	4.11	1.24	362	21.7	53	1025.4	0.500	3.99	16.88	0	54
141.0	   8721	 29	13.52	52.40	0.85	2.180	0.643	0.00	279	-2.61	-0.81	362	21.7	53	1025.4	0.500	3.98	16.52	0	54
142.0	   8387	 30	13.37	53.10	0.88	2.156	0.657	1.98	3586	3.92	1.31	361	21.7	53	1025.4	0.500	3.99	16.44	0	54
143.0	   8036	 31	13.21	53.86	0.92	2.130	0.673	0.00	280	-2.68	-1.00	361	21.7	53	1025.4	0.500	4.00	16.24	0	54
144.0	   7290	 34	13.31	59.48	1.12	2.147	0.762	1.97	3584	4.05	1.99	361	21.7	53	1025.1	0.500	3.99	16.68	0	54
145.0	   6921	 36	13.52	64.07	1.29	2.181	0.830	0.00	280	-3.05	-1.68	361	21.7	53	1025.1	0.499	4.00	16.56	0	54
146.0	   8291	 32	14.08	59.07	1.04	2.271	0.744	1.97	3582	3.98	1.24	362	21.8	53	1025.1	0.500	3.99	16.72	0	54
147.0	   7948	 33	13.95	60.26	1.10	2.250	0.765	0.00	279	-2.61	-0.87	362	21.8	53	1025.5	0.500	3.99	16.52	0	54
148.0	   9518	 28	14.19	53.19	0.83	2.289	0.643	2.01	3586	3.73	1.24	362	21.8	53	1025.5	0.500	3.99	16.68	0	54
149.0	  10446	 26	14.61	51.80	0.76	2.357	0.611	0.00	281	-2.80	-0.75	362	21.8	53	1025.5	0.500	4.00	16.20	0	54
150.0	   9024	 30	14.39	57.17	0.95	2.321	0.708	2.00	3586	3.67	1.31	362	21.8	53	1025.2	0.500	3.99	16.64	0	54
151.0	   9423	 27	13.63	49.78	0.76	2.199	0.595	0.00	277	-2.99	-0.87	361	21.8	53	1025.2	0.500	3.99	16.60	0	54
152.0	   9209	 28	13.74	51.53	0.81	2.216	0.623	2.02	3583	3.67	1.12	362	21.8	53	1025.2	0.500	3.99	16.96	0	54
153.0	   8646	 31	14.38	59.26	1.03	2.319	0.743	0.00	283	-2.55	-1.43	361	21.8	53	1025.2	0.500	3.99	16.52	0	54
154.0	   7555	 34	13.92	62.71	1.19	2.245	0.805	1.99	3584	3.73	1.24	361	21.8	53	1025.2	0.500	3.99	16.44	0	54
155.0	   7645	 33	13.76	60.74	1.13	2.219	0.776	0.00	277	-2.86	-1.12	361	21.8	53	1025.2	0.499	3.99	16.28	0	54
156.0	   8378	 30	13.49	54.01	0.91	2.175	0.670	1.97	3584	3.92	1.18	362	21.8	53	1025.5	0.500	3.99	15.96	0	54
157.0	   8586	 29	13.50	53.00	0.87	2.178	0.653	0.00	275	-2.49	-0.81	361	21.8	53	1025.5	0.500	3.99	16.36	0	54
158.0	   8373	 30	13.49	54.08	0.91	2.176	0.671	2.00	3584	3.98	1.18	362	21.8	53	1025.5	0.500	3.99	16.52	0	54
159.0	   7243	 32	12.67	54.54	0.99	2.043	0.692	0.00	279	-2.80	-0.75	361	21.8	53	1025.2	0.500	4.00	16.64	0	54
160.0	   8447	 29	13.24	51.80	0.85	2.135	0.638	1.99	3586	4.23	1.24	362	21.8	53	1025.2	0.500	3.99	16.72	0	54
161.0	   8524	 30	13.90	56.28	0.96	2.241	0.701	0.00	280	-2.86	-0.93	362	21.8	53	1025.2	0.500	4.01	16.40	0	54
162.0	   8026	 32	13.93	59.55	1.07	2.246	0.754	2.02	3588	3.73	1.68	362	21.8	53	1025.4	0.500	3.99	16.52	0	54
163.0	   8943	 30	14.44	58.03	0.98	2.330	0.721	0.00	279	-2.86	-0.87	362	21.8	53	1025.4	0.500	3.99	16.76	0	54
164.0	   9538	 29	14.79	57.32	0.93	2.385	0.703	2.00	3586	4.23	1.31	362	21.7	53	1025.4	0.500	3.99	16.96	0	54
