"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"180",0,"220054000c504e5354303420",1689914043,52.313423,4.971715,1.25,2.13,2.46,177,16,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,20,633,25.05,46.42,1,19,61.5,"na","na",286,278,384,236,20,2023-07-21 06:34:03,11.0461654166667,25.05,46.42,25.2700375
"181",0,"220054000c504e5354303420",1689914048,52.313423,4.971715,1.21,2.1,2.83,152,22,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,16,632,25.04,46.46,1,19,61.6,"na","na",285,278,379,234,19,2023-07-21 06:34:08,11.0501970833333,25.04,46.46,25.1961541666667
"183",0,"220054000c504e5354303420",1689914053,52.313423,4.971715,1.35,2.06,2.25,197,21,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,19,633,25.05,46.53,1,19,61.6,"na","na",286,278,384,238,21,2023-07-21 06:34:13,11.0943304166667,25.05,46.53,25.3419541666667
"184",0,"220054000c504e5354303420",1689914058,52.313423,4.971715,1.13,2.19,2.52,168,8,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,11,633,25.04,46.51,1,19,61.6,"na","na",285,278,379,235,18,2023-07-21 06:34:18,11.0453283333333,25.04,46.51,25.2235708333333
"185",0,"220054000c504e5354303420",1689914063,52.313423,4.971715,1.24,2.96,3.57,196,13,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,17,633,25.04,46.53,1,19,61.7,"na","na",286,278,381,238,18,2023-07-21 06:34:23,11.0995303787879,25.04,46.53,25.3035583333333
"186",0,"220054000c504e5354303420",1689914068,52.313423,4.971715,1.2,2.43,4.65,175,16,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,17,633,25.02,46.58,1,19,61.7,"na","na",286,278,379,234,19,2023-07-21 06:34:28,11.0437583333333,25.02,46.58,25.0639833333333
"187",0,"220054000c504e5354303420",1689914073,52.313423,4.971715,1.16,2,2.66,178,16,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,25,633,25.01,46.55,1,19,61.7,"na","na",285,278,380,236,23,2023-07-21 06:34:33,10.9576229166667,25.01,46.55,25.0853583333333
"188",0,"220054000c504e5354303420",1689914078,52.313423,4.971715,1.15,2.81,8.93,178,20,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,21,633,24.99,46.61,1,19,61.7,"na","na",286,278,381,239,19,2023-07-21 06:34:38,11.0136366666667,24.99,46.61,25.2699916666667
"190",0,"220054000c504e5354303420",1689914083,52.313423,4.971715,1.1,4.31,9.3,161,11,2,1,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,18,633,25.01,46.6,1,19,61.6,"na","na",285,278,377,235,20,2023-07-21 06:34:43,11.3238413690476,25.01,46.6,25.2005208333333
"191",0,"220054000c504e5354303420",1689914088,52.313423,4.971715,1.39,2.35,2.54,192,12,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,15,633,24.99,46.58,1,19,61.6,"na","na",285,278,377,235,22,2023-07-21 06:34:48,10.9182179166667,24.99,46.58,25.3343416666667
