"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"813",0,"220054000c504e5354303420",1693891036,"51.921822","4.481102","2.76",3.7,4.71,288,38,4,0,0,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,19,633,27.83,44.74,1,21.1,60.1,"na","na",283,278,479,201,31,2023-09-05 07:17:16,11.5356320833333,27.83,44.74,16.9356479166667
"814",0,"220054000c504e5354303420",1693891041,"51.921814","4.481147","2.67",2.86,2.87,322,24,2,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,19,632,27.83,44.67,1,21.1,60.1,"na","na",283,278,474,199,22,2023-09-05 07:17:21,10.895185,27.83,44.67,16.9504145833333
"815",0,"220054000c504e5354303420",1693891046,"51.921806","4.481186","2.64",3.81,4.09,255,23,8,2,1,1,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,15,632,27.81,44.64,1,21.1,60.1,"na","na",281,278,469,195,35,2023-09-05 07:17:26,11.9696583333333,27.81,44.64,16.9022104166667
"816",0,"220054000c504e5354303420",1693891051,"51.921795","4.481215","2.78",4.83,6.3,307,26,3,1,0,2,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,10,633,27.8,44.66,1,21.1,60.1,"na","na",284,278,466,189,25,2023-09-05 07:17:31,11.8855908333333,27.8,44.66,16.9085354166667
"817",0,"220054000c504e5354303420",1693891056,"51.921787","4.481237","2.35",4.36,6.39,254,22,4,1,1,0,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,13,633,27.78,44.67,1,21.1,60.1,"na","na",281,278,466,188,27,2023-09-05 07:17:36,11.8252120833333,27.78,44.67,16.9029229166667
"819",0,"220054000c504e5354303420",1693891061,"51.92178","4.481251","2.48",3.58,19.23,259,23,8,1,0,1,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,18,632,27.78,44.7,1,21.1,60.1,"na","na",282,278,467,191,23,2023-09-05 07:17:41,11.3259654166667,27.78,44.7,16.9029229166667
"820",0,"220054000c504e5354303420",1693891066,"51.921776","4.481256","3.07",5.05,6.29,317,38,7,1,2,1,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,21,632,27.78,44.71,1,21.1,59.9,"na","na",282,278,465,187,23,2023-09-05 07:17:46,12.0431745833333,27.78,44.71,16.9029229166667
"821",0,"220054000c504e5354303420",1693891071,"51.921776","4.481251","2.77",3.9,4.83,317,33,8,0,1,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,15,633,27.77,44.73,1,21.1,60,"na","na",281,278,466,188,27,2023-09-05 07:17:51,11.7534495833333,27.77,44.73,16.9159854166667
"822",0,"220054000c504e5354303420",1693891076,"51.921776","4.481254","2.65",3.8,4.73,318,29,5,1,1,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,19,633,27.78,44.72,1,21.1,60,"na","na",282,278,464,188,61,2023-09-05 07:17:56,11.878285,27.78,44.72,16.9159854166667
"823",0,"220054000c504e5354303420",1693891081,"51.921772","4.481255","2.52",3.11,3.18,290,30,5,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,17,632,27.77,44.73,1,21.1,60,"na","na",284,278,465,189,26,2023-09-05 07:18:01,11.1986195833333,27.77,44.73,16.9159854166667
"824",0,"220054000c504e5354303420",1693891086,"51.921772","4.481256","2.9",3.36,3.39,352,24,4,1,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,15,633,27.74,44.78,1,21.1,60,"na","na",283,278,466,189,22,2023-09-05 07:18:06,11.3973870833333,27.74,44.78,16.9284979166667
"826",0,"220054000c504e5354303420",1693891091,"51.921772","4.481256","2.85",4.31,11.88,307,38,9,0,1,1,0,0,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,18,633,27.75,44.7,1,21.1,60,"na","na",282,278,465,190,21,2023-09-05 07:18:11,11.775185,27.75,44.7,16.8867895833333
"827",0,"220054000c504e5354303420",1693891096,"51.921764","4.481266","2.25",4.17,6.1,281,29,4,0,0,1,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,23,633,27.74,44.75,1,21.1,60,"na","na",282,278,468,194,28,2023-09-05 07:18:16,11.73175625,27.74,44.75,16.9221729166667
"828",0,"220054000c504e5354303420",1693891101,"51.921757","4.48127","2.32",3.44,4.45,263,24,4,0,1,0,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,17,633,27.74,44.76,1,21.1,60,"na","na",282,278,466,194,25,2023-09-05 07:18:21,11.3569266666667,27.74,44.76,16.9284979166667
"829",0,"220054000c504e5354303420",1693891106,"51.921757","4.481269","2.01",2.39,2.43,215,18,5,0,1,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,27,633,27.73,44.79,1,21.1,59.9,"na","na",282,278,467,196,35,2023-09-05 07:18:26,10.3830454166667,27.73,44.79,16.8844729166667
"830",0,"220054000c504e5354303420",1693891111,"51.921757","4.481273","2.57",5.44,7.12,257,18,3,0,3,2,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,14,633,27.71,44.78,1,21.1,59.9,"na","na",284,278,468,195,29,2023-09-05 07:18:31,12.1877125,27.71,44.78,16.8758979166667
"831",0,"220054000c504e5354303420",1693891116,"51.921757","4.481279","3.05",5.67,9.4,290,31,5,0,4,1,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,17,633,27.68,44.78,1,21.1,59.9,"na","na",280,278,470,200,48,2023-09-05 07:18:36,12.40359875,27.68,44.78,16.8512979166667
"833",0,"220054000c504e5354303420",1693891121,"51.921764","4.481287","2.69",2.95,2.95,282,27,5,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,23,633,27.68,44.77,1,21.1,59.9,"na","na",283,278,467,202,40,2023-09-05 07:18:41,10.94628375,27.68,44.77,16.8576229166667
