Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 14.7.2023 06:34:29
statistics: 136274 LDSAmin, 8623 min, 259418 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.2, RH 13.0...81.9
gain	1516.0	1553.0
startup	1454.7	1491.0
ST: Ipump 18.6mA	Display 16.4V	CE -23.7V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  19364	 17	 15.7	 21.3	0.09	1.38	0.00	0	359	23.2	49	1016.8	0.500	3.95	18.96	0	56	100	16738	50371	24656	0	0	0	0	0	2.34204	0.74959	0.00000	0.00000	0.00000
7.0	   8813	 21	 12.6	 33.3	0.47	1.86	1.98	3563	361	23.4	46	1017.0	0.500	3.95	18.88	0	56	100	8153	16793	10316	1106	4221	1173	0	0	1.86928	0.59828	0.62487	0.00000	0.00000
11.0	   8329	 24	 13.9	 58.6	1.82	1.97	1.97	3561	720	23.4	47	1017.1	0.499	3.94	19.08	0	56	100	6320	13281	10538	4577	2500	1889	14	349	2.33370	0.74691	0.78012	0.30361	0.00000
15.0	  13231	 19	 15.4	 56.8	1.47	1.78	1.97	3563	1199	23.4	48	1017.1	0.500	3.95	18.64	0	56	100	13966	28243	17028	0	0	2828	508	123	2.50099	0.80046	0.83604	0.32537	0.05147
19.0	  12044	 21	 16.2	 77.3	2.91	1.87	2.00	3564	100	23.4	49	1016.9	0.500	3.94	19.16	0	56	100	11028	22679	15914	3521	1288	1927	66	650	2.90893	0.73248	0.97241	0.37844	0.05986
23.0	  17360	 17	 16.4	 62.3	2.38	1.59	2.01	3567	360	23.5	50	1017.0	0.501	3.94	19.08	0	56	100	18778	38228	24129	0	4	116	485	522	2.76157	0.69537	0.61392	0.35927	0.05683
27.0	  15709	 17	 13.8	 59.7	2.68	1.56	2.00	3565	720	23.4	51	1016.9	0.500	3.94	18.84	0	56	100	18875	37578	17235	0	0	8	20	725	2.29676	0.57833	0.51059	0.43293	0.04727
31.0	  17657	 17	 16.6	 75.3	3.48	1.59	1.98	3564	1199	23.4	51	1017.1	0.500	3.94	18.44	0	56	100	20299	40192	22233	0	0	0	0	949	2.72366	0.68583	0.60549	0.51341	0.17296
35.0	  14024	 21	 18.0	 93.2	4.18	1.76	2.02	3565	99	23.4	51	1017.1	0.500	3.94	18.40	0	55	83	10937	23237	21765	9399	0	0	0	1120	2.80866	1.55704	0.62439	0.52943	0.17835
39.0	  11095	 22	 15.6	 90.0	3.58	1.93	1.97	3560	361	23.4	51	1017.0	0.500	3.94	18.24	0	55	100	9096	19038	15136	5953	943	909	773	728	2.56726	1.42321	0.88622	0.48392	0.16302
43.0	  10634	 24	 15.9	 88.1	3.51	1.95	2.01	3564	720	23.4	50	1017.1	0.500	3.94	18.12	0	55	100	7929	16565	13849	6877	3570	650	111	841	2.62029	1.45261	0.90453	0.38775	0.16639
47.0	  10300	 23	 14.7	 64.8	1.69	1.95	2.00	3560	1199	23.5	50	1016.8	0.500	3.94	18.36	0	55	100	8381	17513	13402	4808	1628	2149	803	122	2.37998	1.31939	0.82157	0.35219	0.07807
51.0	   9507	 25	 15.5	 62.4	1.38	1.97	1.98	3560	100	23.5	51	1017.0	0.501	3.94	17.96	0	55	100	6453	13871	12220	6952	2875	1797	865	18	2.35339	1.47863	0.81239	0.34826	0.07720
55.0	   7605	 27	 13.8	 65.4	1.45	2.17	1.99	3560	361	23.4	50	1016.9	0.500	3.94	17.80	0	55	100	5316	11047	8218	3269	4027	3909	166	86	2.27715	1.43073	1.02535	0.33697	0.07470
59.0	   7648	 27	 14.0	 70.9	1.79	2.18	1.99	3563	720	23.5	50	1017.1	0.500	3.94	17.52	0	55	100	5486	11474	8670	3361	2841	3751	539	116	2.28397	1.43502	1.02842	0.40283	0.07492
63.0	   9016	 24	 13.6	 66.5	1.32	2.15	2.00	3560	1199	23.5	50	1017.1	0.500	3.94	17.72	0	55	100	7744	16177	10456	1193	870	6260	22	0	2.33602	1.46773	1.05186	0.41201	0.02590
67.0	   7160	 30	 13.6	 67.5	1.29	2.17	2.01	3563	100	23.4	50	1017.0	0.500	3.93	17.92	0	55	100	3894	9061	8064	5140	2118	5615	36	0	2.26646	1.71506	1.02054	0.39974	0.02513
71.0	   6023	 36	 13.9	 69.1	1.57	2.09	1.99	3561	361	23.5	50	1016.9	0.500	3.94	17.76	0	55	85	2197	5061	6158	6267	4812	3865	44	133	2.22498	1.68366	1.01019	0.39243	0.02467
75.0	   6268	 36	 13.6	 65.3	1.19	2.09	1.99	3560	719	23.5	50	1017.0	0.500	3.95	17.96	0	55	92	2416	5514	6260	6104	5251	4071	79	4	2.25929	1.70963	1.02577	0.35275	0.02505
79.0	   6128	 37	 13.7	 70.3	1.49	2.09	1.99	3559	1199	23.5	50	1017.1	0.500	3.94	17.92	0	55	12	2213	5161	5939	6215	6122	2679	700	6	2.28459	1.72877	1.03725	0.35670	0.08199
83.0	   6307	 33	 13.2	 68.0	1.76	2.13	2.02	3560	100	23.5	50	1017.2	0.500	3.95	17.56	0	55	58	3030	6572	6570	5373	4967	3129	10	235	2.13609	1.57289	0.96983	0.33352	0.07666
87.0	   7255	 32	 14.3	 70.9	1.74	2.04	1.97	3560	361	23.5	50	1017.0	0.500	3.94	17.80	0	55	100	3175	7134	8144	7608	5411	2391	331	182	2.33540	1.71966	0.95790	0.36464	0.08381
91.0	   7536	 33	 14.8	 81.5	2.52	2.03	2.00	3557	721	23.5	50	1017.0	0.499	3.95	17.56	0	55	85	3125	7024	8622	8573	5854	1968	71	473	2.45961	1.81112	1.00885	0.39317	0.08827
95.0	   7078	 34	 14.6	 83.9	2.72	2.03	1.97	3559	1200	23.5	50	1017.1	0.499	3.94	17.48	0	55	86	2697	6070	7809	8263	6344	1790	16	548	2.44594	1.80105	1.00324	0.39098	0.13020
99.0	   6512	 35	 14.3	 78.6	2.50	2.02	1.99	3557	99	23.5	50	1017.0	0.500	3.94	17.36	0	55	78	2263	5179	7058	7919	6219	1712	13	495	2.30388	1.71996	0.94497	0.36827	0.12263
103.0	   6379	 34	 14.5	 78.1	2.46	2.11	2.00	3559	360	23.5	50	1017.0	0.501	3.94	17.24	0	55	92	2800	6098	6657	6152	5727	2310	21	461	2.22688	1.66248	1.01057	0.35596	0.11853
107.0	   6270	 36	 13.9	 83.3	2.60	2.09	2.04	3559	719	23.5	50	1016.9	0.499	3.94	17.52	0	55	98	2279	5121	6350	6739	6052	2682	7	476	2.36240	1.76364	1.07207	0.40487	0.12575
111.0	   5872	 36	 14.4	 81.4	2.71	2.09	2.01	3557	1200	23.4	50	1016.9	0.498	3.94	18.16	0	55	82	2114	4731	5952	6427	5901	2159	1	540	2.22559	1.66151	1.00999	0.38142	0.14562
115.0	   8016	 22	 12.8	 72.0	2.53	2.12	1.99	3559	99	23.5	50	1016.7	0.500	3.94	19.08	0	56	100	7425	15011	9247	419	2284	3006	110	478	2.07890	1.10608	0.94341	0.35628	0.13602
119.0	   7591	 24	 13.1	 75.7	2.77	2.14	2.02	3557	360	23.5	50	1017.1	0.499	3.94	19.24	0	56	100	6378	13020	8762	1808	2787	2551	99	564	2.13954	1.13835	0.97372	0.36668	0.13999
123.0	   9104	 22	 14.1	 66.5	1.87	2.09	2.03	3559	718	23.5	51	1017.1	0.501	3.94	18.92	0	56	100	8648	17187	9628	0	4059	3339	0	281	2.27661	1.21128	1.03610	0.28923	0.14896
127.0	   7436	 26	 12.3	 75.8	2.71	2.15	1.98	3557	1200	23.5	51	1016.9	0.501	3.94	18.72	0	56	100	5572	11324	8118	2900	4885	1862	0	577	2.25273	1.19857	1.02523	0.28620	0.18848
131.0	   5981	 31	 13.1	 67.9	2.25	2.13	2.03	3557	100	23.5	51	1017.1	0.500	3.94	18.68	0	56	88	3328	6830	6047	4323	6041	1309	1	462	1.95973	1.36118	0.89189	0.24897	0.16396
