"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"439",0,"220054000c504e5354303420",1689143104,52.310322,4.970449,3.8,20,41.85,169,19,21,8,9,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,10,633,25.23,57.17,1,19.8,74.4,"na","na",286,278,350,253,38,2023-07-12 08:25:04,21.9224383549784,25.23,57.17,21.1325375
"440",0,"220054000c504e5354303420",1689143109,52.310326,4.970454,3.37,13.07,16.74,148,21,16,5,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,8,633,25.22,57.2,1,19.8,73.7,"na","na",289,278,351,248,27,2023-07-12 08:25:09,17.6758661210318,25.22,57.2,21.6746208333333
"442",0,"220054000c504e5354303420",1689143114,52.310322,4.970453,3.5,24.76,56.46,128,22,18,4,9,14,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,7,633,25.25,57.14,1,19.8,74.2,"na","na",288,278,353,248,22,2023-07-12 08:25:14,21.7319729265873,25.25,57.14,21.569775
"443",0,"220054000c504e5354303420",1689143119,52.310314,4.970456,3.98,21.31,42.12,138,17,16,9,14,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,5,633,25.26,57.06,1,19.8,74.2,"na","na",289,278,352,248,67,2023-07-12 08:25:19,21.3830811129149,25.26,57.06,21.5577625
"444",0,"220054000c504e5354303420",1689143124,52.310314,4.97046,2.85,9.4,12.02,138,19,10,3,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,11,633,25.28,57,1,19.8,74.1,"na","na",288,278,357,248,26,2023-07-12 08:25:24,17.0691352678572,25.28,57,21.4186625
"445",0,"220054000c504e5354303420",1689143129,52.310314,4.970462,3.29,17.98,52.23,100,12,10,11,6,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,6,633,25.26,56.99,1,19.8,74.1,"na","na",289,278,357,251,30,2023-07-12 08:25:29,21.1736013690476,25.26,56.99,21.4611916666667
"446",0,"220054000c504e5354303420",1689143134,52.31031,4.970462,3.86,22.87,56.76,117,22,15,5,11,13,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,3,633,25.26,56.96,1,19.8,74,"na","na",288,278,356,251,17,2023-07-12 08:25:34,21.5655780753968,25.26,56.96,21.3718791666667
"447",0,"220054000c504e5354303420",1689143139,52.310307,4.97046,4.52,21.01,56.45,161,26,19,10,11,10,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,6,633,25.23,56.93,1,19.9,74.1,"na","na",288,278,356,248,39,2023-07-12 08:25:39,21.6731125613275,25.23,56.93,21.3706041666667
"449",0,"220054000c504e5354303420",1689143144,52.310307,4.970458,4.13,24.38,50.24,153,23,16,7,6,15,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,3,633,25.29,56.96,1,19.8,74.1,"na","na",286,278,356,250,20,2023-07-12 08:25:44,21.7488324206349,25.29,56.96,21.2997958333334
"450",0,"220054000c504e5354303420",1689143149,52.310307,4.970457,3.64,17.04,33.69,146,15,18,7,9,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,6,633,25.26,56.95,1,19.9,74.1,"na","na",289,278,354,249,18,2023-07-12 08:25:49,21.0597431547619,25.26,56.95,21.4822583333333
