"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"644",0,"220054000c504e5354303420",1695789061,"0","0","9.26",13.14,15.78,772,104,23,2,2,1,2,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,14,633,24.68,49.48,1,16.7,72,"na","na",282,278,360,201,157,2023-09-27 06:31:01,15.6296856765457,24.68,49.48,25.0233541666666
"645",0,"220054000c504e5354303420",1695789066,"0","0","9.71",12.88,33.05,745,122,15,4,0,1,0,0,2,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,17,633,24.67,49.51,1,16.7,72.2,"na","na",282,278,360,196,87,2023-09-27 06:31:06,15.6435253246753,24.67,49.51,25.1517375
"647",0,"220054000c504e5354303420",1695789071,"0","0","9.74",11.38,44.07,748,94,19,4,1,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,261,13,633,24.66,49.62,1,16.7,72.3,"na","na",281,278,359,197,129,2023-09-27 06:31:11,15.4703237202381,24.66,49.62,24.9214979166667
"648",0,"220054000c504e5354303420",1695789076,"0","0","12.1",15.63,16.58,892,122,26,2,1,3,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,9,633,24.64,49.71,1,16.6,72.5,"na","na",284,278,359,198,324,2023-09-27 06:31:16,16.421186031746,24.64,49.71,24.94493125
"649",0,"220054000c504e5354303420",1695789081,"0","0","15.16",20.61,54.08,1055,227,41,7,6,1,0,1,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,291,13,633,24.63,49.78,1,16.6,72.5,"na","na",283,278,360,200,17,2023-09-27 06:31:21,18.6076894345238,24.63,49.78,24.8309395833333
"650",0,"220054000c504e5354303420",1695789086,"0","0","11.37",17.61,27.26,982,174,30,6,3,0,3,2,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,15,633,24.6,49.88,1,16.6,72.6,"na","na",281,278,361,202,249,2023-09-27 06:31:26,17.532162827381,24.6,49.88,25.4282708333333
"651",0,"220054000c504e5354303420",1695789091,"0","0","11.15",15.13,17.03,774,128,31,3,1,2,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,14,633,24.58,49.83,1,16.6,72.8,"na","na",283,278,360,200,413,2023-09-27 06:31:31,16.74693002886,24.58,49.83,25.0040625
"652",0,"220054000c504e5354303420",1695789096,"0","0","13.01",15.6,15.8,1003,135,23,4,4,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,12,633,24.56,49.9,1,16.5,73,"na","na",282,278,359,202,569,2023-09-27 06:31:36,16.5260980618687,24.56,49.9,25.0293416666667
"654",0,"220054000c504e5354303420",1695789101,"0","0","12.25",17.1,19.13,855,150,26,3,4,2,1,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,8,633,24.56,50.07,1,16.5,73.2,"na","na",284,278,358,199,863,2023-09-27 06:31:41,17.3396534460678,24.56,50.07,25.0711333333333
"655",0,"220054000c504e5354303420",1695789106,"0","0","14.04",20.99,28.77,1059,199,29,7,1,2,3,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,15,633,24.51,50.19,1,16.5,73.3,"na","na",283,278,357,200,21,2023-09-27 06:31:46,19.5629494733045,24.51,50.19,25.7809583333333
